Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
DA Warner,2019-2024,40,40,9,1485,100*,47.9,1021,145.44,1,15,1,165,43
MR Marsh,2020-2024,50,48,8,1382,92*,34.55,1014,136.29,0,9,2,124,62
GJ Maxwell,2019-2024,54,51,8,1086,120*,25.25,723,150.2,2,5,3,91,56
MP Stoinis,2020-2024,47,40,13,973,78,36.03,634,153.47,0,4,1,77,52
MS Wade,2020-2024,66,51,17,963,80,28.32,678,142.03,0,2,1,84,37
SPD Smith,2019-2024,37,30,6,663,80*,27.62,520,127.5,0,3,0,62,15
TM Head,2022-2024,17,17,1,592,91,37,362,163.53,0,3,1,69,32
TH David,2022-2024,32,27,8,565,64,29.73,338,167.15,0,2,3,45,34
JP Inglis,2022-2024,21,21,3,470,110,26.11,309,152.1,1,0,1,46,18
AC Agar,2019-2024,34,22,4,197,27,10.94,199,98.99,0,0,4,13,6
MW Short,2023-2024,9,8,0,183,66,22.87,104,175.96,0,1,1,20,9
PJ Cummins,2019-2024,37,16,8,123,28,15.37,96,128.12,0,0,2,9,6
MA Starc,2019-2024,42,15,9,86,14,14.33,82,104.87,0,0,0,4,2
AM Hardie,2023-2024,7,5,0,69,23,13.8,61,113.11,0,0,0,10,1
A Zampa,2019-2024,65,14,5,40,13*,4.44,46,86.95,0,0,3,4,0
JR Hazlewood,2020-2024,44,9,6,27,13*,9,22,122.72,0,0,2,2,1
NT Ellis,2021-2024,17,5,2,17,11*,5.66,34,50,0,0,1,0,0
SA Abbott,2019-2024,12,5,2,16,12*,5.33,15,106.66,0,0,2,0,1
JP Behrendorff,2021-2024,10,2,1,7,5,7,9,77.77,0,0,0,0,0
