Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 wkts,5 wkts
A Zampa,2019-2024,65,65,239.5,0,1822,82,May-19,22.21,7.59,17.5,2,1
JR Hazlewood,2020-2024,44,44,165.4,7,1180,57,04-Dec,20.7,7.12,17.4,3,0
MA Starc,2019-2024,42,42,155.3,1,1289,48,Apr-20,26.85,8.28,19.4,1,0
PJ Cummins,2019-2024,37,37,133,1,1025,41,Mar-28,25,7.7,19.4,0,0
AC Agar,2019-2024,34,34,129.4,1,800,39,Jun-30,20.51,6.16,19.9,0,2
MP Stoinis,2020-2024,47,26,70,0,622,30,Mar-18,20.73,8.88,14,0,0
NT Ellis,2021-2024,17,17,62,2,482,28,Apr-28,17.21,7.77,13.2,1,0
GJ Maxwell,2019-2024,54,35,69.1,0,606,17,Feb-14,35.64,8.76,24.4,0,0
SA Abbott,2019-2024,12,12,37.5,1,352,14,Apr-31,25.14,9.3,16.2,1,0
JP Behrendorff,2021-2024,10,10,37,2,326,11,Feb-25,29.63,8.81,20.1,0,0
MR Marsh,2020-2024,50,16,31,0,231,11,Mar-24,21,7.45,16.9,0,0
SH Johnson,2023-2024,5,5,17.3,0,160,6,Feb-33,26.66,9.14,17.5,0,0
AM Hardie,2023-2024,7,6,19,1,175,4,Jan-20,43.75,9.21,28.5,0,0
XC Bartlett,2024-2024,1,1,4,0,37,2,Feb-37,18.5,9.25,12,0,0
MW Short,2023-2024,9,4,5,0,69,2,Jan-13,34.5,13.8,15,0,0
TM Head,2022-2024,17,1,2,0,17,0,-,-,8.5,-,0,0
