web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721717286-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","JC Buttler","2020-2024","58","56","12","2004","101*","45.54","1319","151.93","1","17","4","198","84"
"1721717286-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","DJ Malan","2019-2023","57","55","8","1642","103*","34.93","1262","130.11","1","12","2","168","51"
"1721717286-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","JM Bairstow","2019-2024","50","47","10","1158","90","31.29","821","141.04","0","7","5","100","57"
"1721717286-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","MM Ali","2020-2024","67","53","11","994","63","23.66","665","149.47","0","6","3","67","59"
"1721717286-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","PD Salt","2022-2024","31","29","4","885","119","35.40","536","165.11","2","3","2","83","45"
"1721717286-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","JJ Roy","2020-2022","32","32","1","779","70","25.12","594","131.14","0","4","3","78","34"
"1721717286-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","HC Brook","2022-2024","39","32","9","707","81*","30.73","484","146.07","0","3","0","57","30"
"1721717286-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","LS Livingstone","2021-2024","46","35","8","675","103","25.00","445","151.68","1","1","1","34","45"
"1721717286-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","EJG Morgan","2019-2022","34","28","5","648","91","28.17","429","151.04","0","4","0","50","39"
"1721717286-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","AD Hales","2022-2022","15","15","1","430","86*","30.71","296","145.27","0","4","1","50","15"
