Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
SA Yadav,2022-2024,9,9,0,290,80,32.22,168,172.61,0,2,1,24,19
RD Gaikwad,2023-2023,5,5,1,223,123*,55.75,140,159.28,1,1,1,21,10
V Kohli,2020-2024,7,7,0,210,85,30,160,131.25,0,2,1,12,9
HH Pandya,2020-2024,7,7,4,210,71*,70,122,172.13,0,1,0,15,13
RG Sharma,2022-2024,4,4,1,166,92,55.33,84,197.61,0,1,0,14,14
KL Rahul,2020-2022,6,6,0,147,55,24.5,109,134.86,0,2,1,11,6
YBK Jaiswal,2023-2023,5,5,0,138,53,27.6,82,168.29,0,1,0,19,7
Ishan Kishan,2023-2023,3,3,0,110,58,36.66,76,144.73,0,2,1,5,9
RK Singh,2023-2023,5,4,2,105,46,52.5,60,175,0,0,0,13,4
S Dhawan,2020-2020,3,3,0,81,52,27,63,128.57,0,1,0,7,2
SS Iyer,2020-2023,4,4,1,73,53,24.33,50,146,0,1,1,6,3
JM Sharma,2023-2023,2,2,0,59,35,29.5,35,168.57,0,0,0,4,4
RA Jadeja,2020-2024,2,2,2,53,44*,-,28,189.28,0,0,0,5,2
NT Tilak Varma,2023-2023,3,3,2,50,31*,50,36,138.88,0,0,0,6,1
SV Samson,2020-2020,3,3,0,48,23,16,34,141.17,0,0,0,2,2
AR Patel,2022-2024,9,4,0,39,31,9.75,33,118.18,0,0,1,3,1
S Dube,2024-2024,1,1,0,28,28,28,22,127.27,0,0,0,2,1
KD Karthik,2022-2022,3,3,2,17,10*,17,8,212.5,0,0,0,1,1
SN Thakur,2020-2020,2,1,1,17,17*,-,7,242.85,0,0,0,0,2
RR Pant,2022-2024,2,1,0,15,15,15,14,107.14,0,0,0,1,1
Washington Sundar,2020-2020,3,2,0,14,7,7,11,127.27,0,0,0,2,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MK Pandey,2020-2020,1,1,0,2,2,2,8,25,0,0,0,0,0
