web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721717677-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","Q de Kock","2019-2024","56","55","5","1697","100","33.94","1170","145.04","1","14","4","161","76"
"1721717677-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","RR Hendricks","2019-2024","48","47","2","1383","87","30.73","1054","131.21","0","11","2","152","37"
"1721717677-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","AK Markram","2021-2024","46","42","7","1223","70","34.94","847","144.39","0","9","2","111","48"
"1721717677-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","DA Miller","2019-2024","55","48","18","1146","106*","38.20","814","140.78","1","5","2","69","61"
"1721717677-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","HE van der Dussen","2019-2024","39","35","8","916","94*","33.92","709","129.19","0","6","0","56","43"
"1721717677-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","H Klaasen","2020-2024","43","38","7","756","81","24.38","532","142.10","0","4","1","60","35"
"1721717677-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","T Bavuma","2019-2023","36","35","4","670","72","21.61","567","118.16","0","1","6","62","16"
"1721717677-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","RR Rossouw","2022-2023","14","13","2","440","109","40.00","243","181.06","2","1","3","40","27"
"1721717677-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","T Stubbs","2022-2024","26","21","5","404","72","25.25","317","127.44","0","1","3","30","18"
"1721717677-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","JN Malan","2021-2021","9","9","0","206","55","22.88","149","138.25","0","1","1","22","9"
