web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
"1721717835-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","T Shamsi","2019-2024","56","56","201.3","0","1473","79","5/24","18.64","7.31","15.3","3","1"
"1721717835-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","A Nortje","2019-2024","42","41","144.5","0","1016","53","4/7","19.16","7.01","16.3","3","0"
"1721717835-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","L Ngidi","2020-2024","35","35","118.5","0","1168","51","5/39","22.90","9.82","13.9","1","1"
"1721717835-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","K Rabada","2019-2024","46","46","161.5","3","1343","46","3/18","29.19","8.29","21.1","0","0"
"1721717835-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","KA Maharaj","2021-2024","35","35","118.5","1","846","35","3/27","24.17","7.11","20.3","0","0"
"1721717835-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","D Pretorius","2019-2022","26","23","74.0","0","615","32","5/17","19.21","8.31","13.8","0","1"
"1721717835-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","AL Phehlukwayo","2019-2024","21","19","61.5","0","610","22","3/28","27.72","9.86","16.8","0","0"
"1721717835-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","BC Fortuin","2019-2024","20","20","59.0","1","455","18","3/16","25.27","7.71","19.6","0","0"
"1721717835-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","WD Parnell","2022-2023","16","16","57.3","1","475","18","5/30","26.38","8.26","19.1","0","1"
"1721717835-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","LB Williams","2021-2023","11","11","38.4","0","371","16","3/35","23.18","9.59","14.5","0","0"
