web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721718705-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","N Pooran","2019-2024","84","76","7","1858","98","26.92","1373","135.32","0","10","2","125","120"
"1721718705-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","BA King","2019-2024","55","53","5","1395","85*","29.06","1038","134.39","0","10","4","149","60"
"1721718705-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","R Powell","2019-2024","58","52","9","1193","107","27.74","786","151.78","1","5","1","63","87"
"1721718705-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","E Lewis","2019-2022","33","32","2","828","79","27.60","575","144.00","0","6","3","70","57"
"1721718705-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","SO Hetmyer","2019-2023","46","39","4","793","81*","22.65","671","118.18","0","5","2","46","42"
"1721718705-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","KA Pollard","2019-2022","42","33","11","781","75*","35.50","543","143.83","0","4","2","38","59"
"1721718705-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","KR Mayers","2020-2024","38","37","2","762","73","21.77","551","138.29","0","3","1","68","51"
"1721718705-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","LMP Simmons","2019-2021","23","23","4","620","91*","32.63","487","127.31","0","4","0","54","35"
"1721718705-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","J Charles","2022-2024","23","23","0","578","118","25.13","397","145.59","1","1","3","56","34"
"1721718705-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","AD Russell","2020-2024","35","32","11","568","71","27.04","302","188.07","0","3","3","33","53"
"1721718705-11","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","JO Holder","2019-2024","52","37","13","431","38","17.95","324","133.02","0","0","5","25","25"
"1721718705-12","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","SD Hope","2019-2024","19","19","3","430","82*","26.87","334","128.74","0","2","2","29","21"
"1721718705-13","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","R Shepherd","2020-2024","40","24","11","366","44*","28.15","252","145.23","0","0","2","13","30"
"1721718705-14","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","SE Rutherford","2019-2024","18","15","4","331","68*","30.09","214","154.67","0","2","2","19","24"
"1721718705-15","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","RL Chase","2021-2024","19","13","4","304","67*","33.77","240","126.66","0","2","2","27","9"
