Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
Rahmanullah Gurbaz,2022-2024,2,2,0,90,60,45,66,136.36,0,1,0,6,6
Ibrahim Zadran,2022-2024,2,2,0,77,51,38.5,81,95.06,0,1,0,8,0
Rashid Khan,2022-2024,2,2,1,50,48*,50,28,178.57,0,0,0,3,4
Gulbadin Naib,2022-2024,2,2,0,39,39,19.5,24,162.5,0,0,1,3,2
Darwish Rasooli,2022-2022,1,1,0,15,15,15,13,115.38,0,0,0,1,0
Karim Janat,2024-2024,1,1,0,13,13,13,9,144.44,0,0,0,0,1
Mohammad Nabi,2022-2024,2,2,1,11,10*,11,6,183.33,0,0,0,2,0
Azmatullah Omarzai,2024-2024,1,1,0,2,2,2,3,66.66,0,0,0,0,0
Usman Ghani,2022-2022,1,1,0,2,2,2,7,28.57,0,0,0,0,0
Nangeyalia Kharote,2024-2024,1,1,1,1,1*,-,1,100,0,0,0,0,0
Najibullah Zadran,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0
Naveen-ul-Haq,2022-2024,2,1,1,0,0*,-,0,-,0,0,0,0,0
Fazalhaq Farooqi,2022-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
Mujeeb Ur Rahman,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
Noor Ahmad,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
