Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Mohammad Nabi,2018-2024,11,10,3,217,84*,31,177,122.59,0,2,1,16,10
Hazratullah Zazai,2019-2023,7,7,1,148,59*,24.66,130,113.84,0,1,0,14,8
Najibullah Zadran,2018-2023,10,8,1,134,43*,19.14,113,118.58,0,0,0,8,9
Samiullah Shinwari,2018-2018,3,3,1,118,49,59,87,135.63,0,0,0,6,8
Usman Ghani,2018-2022,4,4,0,113,47,28.25,129,87.59,0,0,0,9,3
Rahmanullah Gurbaz,2019-2024,8,8,0,110,43,13.75,124,88.7,0,0,2,8,5
Asghar Afghan,2018-2019,5,5,0,96,40,19.2,88,109.09,0,0,1,3,6
Ibrahim Zadran,2022-2024,4,4,1,90,42*,30,103,87.37,0,0,0,6,2
Mohammad Shahzad,2018-2018,3,3,0,90,40,30,77,116.88,0,0,0,12,2
Azmatullah Omarzai,2022-2024,6,4,0,88,33,22,69,127.53,0,0,0,4,6
Shafiqullah,2018-2019,4,4,2,51,24,25.5,30,170,0,0,0,3,4
Rashid Khan,2018-2024,11,7,5,47,19*,23.5,38,123.68,0,0,0,0,5
Karim Janat,2018-2024,11,7,2,44,20,8.8,49,89.79,0,0,1,3,1
Darwish Rasooli,2022-2022,2,2,1,11,9*,11,14,78.57,0,0,0,0,1
Najeeb Tarakai,2019-2019,1,1,0,11,11,11,13,84.61,0,0,0,0,1
Qais Ahmad,2022-2022,1,1,0,8,8,8,9,88.88,0,0,0,1,0
Gulbadin Naib,2019-2024,3,3,0,5,4,1.66,6,83.33,0,0,1,1,0
Mujeeb Ur Rahman,2018-2023,9,4,3,5,4,5,6,83.33,0,0,0,1,0
Fazalhaq Farooqi,2022-2024,6,1,1,0,0*,-,0,-,0,0,0,0,0
