Player,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
Ibrahim Zadran,1,1,0,32,32,32,32,100,0,0,0,3,1
Usman Ghani,1,1,0,30,30,30,30,100,0,0,0,3,0
Najibullah Zadran,1,1,0,13,13,13,11,118.18,0,0,0,0,1
Rahmanullah Gurbaz,1,1,0,10,10,10,9,111.11,0,0,0,0,1
Azmatullah Omarzai,1,1,0,8,8,8,6,133.33,0,0,0,1,0
Hazratullah Zazai,1,1,0,7,7,7,17,41.17,0,0,0,1,0
Mohammad Nabi,1,1,0,3,3,3,5,60,0,0,0,0,0
Fareed Ahmad,1,1,1,2,2*,-,4,50,0,0,0,0,0
Fazalhaq Farooqi,1,1,0,0,0,0,2,0,0,0,1,0,0
Mujeeb Ur Rahman,1,1,0,0,0,0,1,0,0,0,1,0,0
Rashid Khan,1,1,0,0,0,0,1,0,0,0,1,0,0
