Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike rate,100s,50s,0's,4's,6's
Gulbadin Naib,2021-2024,6,5,2,174,57,58,123,141.46,0,2,0,14,11
Ibrahim Zadran,2022-2024,5,5,1,155,64*,38.75,143,108.39,0,2,0,12,4
Mohammad Nabi,2021-2024,6,6,0,146,42,24.33,114,128.07,0,0,0,8,8
Rahmanullah Gurbaz,2021-2024,6,6,0,117,50,19.5,88,132.95,0,1,1,8,9
Najibullah Zadran,2021-2024,6,6,1,77,23,15.4,67,114.92,0,0,1,6,5
Karim Janat,2021-2024,6,6,2,76,42*,19,48,158.33,0,0,0,7,3
Azmatullah Omarzai,2022-2024,5,5,0,58,29,11.6,54,107.4,0,0,1,4,2
Shahidullah,2023-2023,1,1,1,49,49*,-,43,113.95,0,0,0,3,2
Mujeeb Ur Rahman,2022-2024,3,2,0,39,21,19.5,22,177.27,0,0,0,4,3
Rashid Khan,2021-2024,3,3,0,17,15,5.66,26,65.38,0,0,1,2,0
Afsar Zazai,2023-2023,1,1,0,15,15,15,20,75,0,0,0,2,0
Hazratullah Zazai,2021-2024,3,3,0,15,13,5,23,65.21,0,0,1,1,1
Noor Ahmad,2024-2024,2,2,0,13,12,6.5,20,65,0,0,0,1,1
Sharafuddin Ashraf,2021-2024,3,2,2,7,5*,-,5,140,0,0,0,1,0
Zubaid Akbari,2023-2023,1,1,0,5,5,5,8,62.5,0,0,0,1,0
Fazalhaq Farooqi,2022-2024,4,2,1,4,4*,4,1,400,0,0,1,1,0
Mohammad Shahzad,2021-2023,2,2,0,4,4,2,10,40,0,0,1,1,0
Rahmat Shah,2024-2024,1,1,0,3,3,3,6,50,0,0,0,0,0
Fareed Ahmad,2022-2024,3,1,1,1,1*,-,5,20,0,0,0,0,0
Naveen-ul-Haq,2021-2024,4,2,1,1,1*,1,2,50,0,0,1,0,0
Noor Ali Zadran,2023-2023,1,1,0,1,1,1,4,25,0,0,0,0,0
