Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
Rahmanullah Gurbaz,2021-2024,2,2,0,86,80,43,65,132.3,0,1,0,6,5
Najibullah Zadran,2021-2024,2,2,1,74,73,74,49,151.02,0,1,0,6,3
Ibrahim Zadran,2024-2024,1,1,0,44,44,44,41,107.31,0,0,0,3,2
Azmatullah Omarzai,2024-2024,1,1,0,22,22,22,13,169.23,0,0,0,1,2
Gulbadin Naib,2021-2024,2,2,0,15,15,7.5,20,75,0,0,1,1,0
Mohammad Nabi,2021-2024,2,2,0,14,14,7,21,66.66,0,0,1,0,0
Rashid Khan,2021-2024,2,2,0,9,6,4.5,12,75,0,0,0,1,0
Mohammad Shahzad,2021-2021,1,1,0,4,4,4,11,36.36,0,0,0,1,0
Karim Janat,2021-2024,2,2,1,3,2,3,3,100,0,0,0,0,0
Hazratullah Zazai,2021-2021,1,1,0,2,2,2,4,50,0,0,0,0,0
Mujeeb Ur Rahman,2021-2021,1,1,1,0,0*,-,1,0,0,0,0,0,0
