Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
Rahmanullah Gurbaz,2021-2023,5,5,0,105,44,21,95,110.52,0,0,0,4,6
Mohammad Nabi,2021-2023,5,5,3,104,38*,52,90,115.55,0,0,1,9,3
Ibrahim Zadran,2022-2023,4,4,0,85,38,21.25,94,90.42,0,0,0,6,1
Najibullah Zadran,2021-2023,5,5,3,72,23*,36,68,105.88,0,0,0,7,3
Gulbadin Naib,2021-2023,3,3,2,61,35*,61,46,132.6,0,0,1,5,4
Karim Janat,2021-2023,6,5,0,40,15,8,60,66.66,0,0,1,2,1
Noor Ali Zadran,2023-2023,1,1,0,39,39,39,33,118.18,0,0,0,4,2
Rashid Khan,2021-2023,5,2,1,34,18*,34,29,117.24,0,0,0,4,2
Azmatullah Omarzai,2022-2023,4,2,1,31,21,31,30,103.33,0,0,0,3,1
Usman Ghani,2023-2023,2,2,0,22,15,11,26,84.61,0,0,0,2,0
Hazratullah Zazai,2021-2022,2,2,0,21,21,10.5,22,95.45,0,0,1,4,0
Mohammad Shahzad,2021-2023,2,2,0,17,9,8.5,21,80.95,0,0,0,3,0
Sediqullah Atal,2023-2023,2,2,0,16,11,8,23,69.56,0,0,0,1,1
Afsar Zazai,2023-2023,1,1,0,13,13,13,21,61.9,0,0,0,0,0
Asghar Afghan,2021-2021,1,1,0,10,10,10,7,142.85,0,0,0,1,1
Sharafuddin Ashraf,2023-2023,1,1,1,6,6*,-,10,60,0,0,0,1,0
Fareed Ahmad,2022-2023,3,1,0,5,5,5,9,55.55,0,0,0,1,0
Fazalhaq Farooqi,2022-2023,4,1,1,1,1*,-,2,50,0,0,0,0,0
Mujeeb Ur Rahman,2021-2023,5,1,0,0,0,0,2,0,0,0,1,0,0
Shahidullah,2023-2023,1,1,0,0,0,0,2,0,0,0,1,0,0
