Player,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Azmatullah Omarzai,1,1,0,10,10,10,12,83.33,0,0,0,2,0
Gulbadin Naib,1,1,0,9,9,9,8,112.5,0,0,0,2,0
Karim Janat,1,1,0,8,8,8,13,61.53,0,0,0,1,0
Rashid Khan,1,1,0,8,8,8,8,100,0,0,0,2,0
Fazalhaq Farooqi,1,1,1,2,2*,-,2,100,0,0,0,0,0
Ibrahim Zadran,1,1,0,2,2,2,5,40,0,0,0,0,0
Nangeyalia Kharote,1,1,0,2,2,2,7,28.57,0,0,0,0,0
Naveen-ul-Haq,1,1,0,2,2,2,8,25,0,0,0,0,0
Mohammad Nabi,1,1,0,0,0,0,3,0,0,0,1,0,0
Noor Ahmad,1,1,0,0,0,0,2,0,0,0,1,0,0
Rahmanullah Gurbaz,1,1,0,0,0,0,3,0,0,0,1,0,0
