Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Rahmanullah Gurbaz,2019-2024,4,4,0,94,79,23.5,68,138.23,0,1,2,8,5
Najibullah Zadran,2017-2024,7,7,2,86,27,17.2,84,102.38,0,0,1,6,2
Asghar Afghan,2017-2019,6,6,0,84,25,14,98,85.71,0,0,0,5,3
Karim Janat,2017-2024,6,6,0,78,26,13,76,102.63,0,0,0,7,3
Mohammad Nabi,2017-2024,7,7,0,74,38,10.57,73,101.36,0,0,0,4,3
Gulbadin Naib,2017-2024,7,7,2,67,24,13.4,63,106.34,0,0,0,6,3
Rashid Khan,2017-2024,7,6,1,59,33,11.8,48,122.91,0,0,1,5,3
Ibrahim Zadran,2019-2024,4,4,0,52,38,13,54,96.29,0,0,0,5,2
Hazratullah Zazai,2019-2019,3,3,0,49,26,16.33,48,102.08,0,0,1,5,1
Noor Ali Zadran,2017-2017,2,2,0,41,35,20.5,25,164,0,0,0,6,2
Amir Hamza,2017-2017,3,2,1,27,21,27,21,128.57,0,0,0,2,1
Shafiqullah,2017-2017,3,3,0,26,25,8.66,19,136.84,0,0,1,3,1
Fareed Ahmad,2019-2019,1,1,1,24,24*,-,15,160,0,0,0,4,0
Azmatullah Omarzai,2024-2024,1,1,0,23,23,23,19,121.05,0,0,0,1,1
Naveen-ul-Haq,2019-2024,4,3,1,11,5,5.5,13,84.61,0,0,0,2,0
Dawlat Zadran,2017-2017,1,1,0,9,9,9,5,180,0,0,0,0,1
Mujeeb Ur Rahman,2019-2019,3,1,1,8,8*,-,8,100,0,0,0,1,0
Usman Ghani,2017-2017,1,1,0,8,8,8,13,61.53,0,0,0,1,0
Samiullah Shinwari,2017-2017,2,2,0,7,7,3.5,21,33.33,0,0,1,0,0
Noor Ahmad,2024-2024,1,1,0,2,2,2,4,50,0,0,0,0,0
Shapoor Zadran,2017-2017,2,1,1,1,1*,-,2,50,0,0,0,0,0
Fazalhaq Farooqi,2024-2024,1,1,1,0,0*,-,2,0,0,0,0,0,0
Javed Ahmadi,2017-2017,1,1,0,0,0,0,2,0,0,0,1,0,0
