web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
"1721719686-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Rashid Khan","2019-2024","55","55","209.2","0","1282","77","4/9","16.64","6.12","16.3","4","0"
"1721719686-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Naveen-ul-Haq","2019-2024","45","45","149.2","1","1176","59","4/20","19.93","7.87","15.1","2","0"
"1721719686-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Fazalhaq Farooqi","2021-2024","42","42","150.4","4","1005","54","5/9","18.61","6.67","16.7","1","1"
"1721719686-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Mujeeb Ur Rahman","2019-2024","37","37","133.0","1","881","48","5/20","18.35","6.62","16.6","1","1"
"1721719686-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Azmatullah Omarzai","2022-2024","44","39","103.4","1","881","28","4/9","31.46","8.49","22.2","1","0"
"1721719686-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Mohammad Nabi","2019-2024","61","52","130.0","0","999","27","2/12","37.00","7.68","28.8","0","0"
"1721719686-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Karim Janat","2019-2024","50","33","83.1","0","657","26","5/11","25.26","7.89","19.1","0","1"
"1721719686-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Fareed Ahmad","2019-2024","19","18","50.3","0","444","25","3/14","17.76","8.79","12.1","0","0"
"1721719686-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Gulbadin Naib","2019-2024","35","23","64.1","1","466","24","4/20","19.41","7.26","16.0","1","0"
"1721719686-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Qais Ahmad","2020-2024","11","10","32.0","0","221","16","3/16","13.81","6.90","12.0","0","0"
"1721719686-11","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Noor Ahmad","2022-2024","14","13","38.0","0","264","7","4/10","37.71","6.94","32.5","1","0"
"1721719686-12","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Nangeyalia Kharote","2024-2024","6","4","12.0","0","78","5","2/16","15.60","6.50","14.4","0","0"
"1721719686-13","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Nijat Masood","2022-2022","3","3","11.0","0","95","4","3/39","23.75","8.63","16.5","0","0"
"1721719686-14","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=40;template=results;type=bowling","Hamid Hassan","2021-2021","3","3","11.0","0","57","3","3/9","19.00","5.18","22.0","0","0"
