Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Karim Janat,2017-2024,6,5,16,0,116,8,05-Nov,14.5,7.25,12,0,1
Gulbadin Naib,2017-2024,7,5,15,0,96,7,Feb-14,13.71,6.4,12.8,0,0
Naveen-ul-Haq,2019-2024,4,4,15,0,123,6,Mar-24,20.5,8.2,15,0,0
Rashid Khan,2017-2024,7,7,27,0,172,5,Jan-14,34.4,6.37,32.4,0,0
Shapoor Zadran,2017-2017,2,2,6.5,0,57,3,Feb-30,19,8.34,13.6,0,0
Mohammad Nabi,2017-2024,7,7,17,0,142,2,Jan-21,71,8.35,51,0,0
Mujeeb Ur Rahman,2019-2019,3,3,10,0,46,2,01-Sep,23,4.6,30,0,0
Azmatullah Omarzai,2024-2024,1,1,2,0,41,1,Jan-41,41,20.5,12,0,0
Amir Hamza,2017-2017,3,3,10,0,59,0,-,-,5.9,-,0,0
Dawlat Zadran,2017-2017,1,1,3,0,33,0,-,-,11,-,0,0
Fareed Ahmad,2019-2019,1,1,1,0,17,0,-,-,17,-,0,0
Fazalhaq Farooqi,2024-2024,1,1,3,0,38,0,-,-,12.66,-,0,0
Noor Ahmad,2024-2024,1,1,4,0,20,0,-,-,5,-,0,0
Samiullah Shinwari,2017-2017,2,1,1,0,10,0,-,-,10,-,0,0
