Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
GJ Maxwell,2017-2024,16,15,2,485,113*,37.3,311,155.94,2,2,1,33,30
MS Wade,2020-2024,12,11,5,363,80,60.5,217,167.28,0,2,0,37,15
TM Head,2017-2024,6,6,1,227,76,45.4,145,156.55,0,1,0,32,7
AJ Finch,2017-2022,12,12,0,208,42,17.33,156,133.33,0,0,3,26,4
SPD Smith,2020-2023,8,8,0,205,52,25.62,166,123.49,0,1,0,18,5
TH David,2022-2024,9,9,1,181,54,22.62,128,141.4,0,1,1,10,11
DJM Short,2018-2020,8,8,0,181,40,22.62,171,105.84,0,0,0,24,0
JP Inglis,2022-2023,5,5,0,163,110,32.6,92,177.17,1,0,0,19,8
MP Stoinis,2017-2024,11,10,4,157,45,26.16,118,133.05,0,0,0,12,6
MC Henriques,2017-2020,5,5,2,131,62*,43.66,95,137.89,0,1,0,7,6
C Green,2022-2022,3,3,0,118,61,39.33,55,214.54,0,2,0,16,7
BR McDermott,2018-2023,5,5,2,107,54,35.66,92,116.3,0,1,1,3,6
MW Short,2023-2023,4,4,0,70,22,17.5,51,137.25,0,0,0,10,1
CA Lynn,2018-2018,3,3,0,63,37,21,43,146.51,0,0,0,3,5
DR Sams,2020-2022,4,3,3,40,28*,-,25,160,0,0,0,3,2
MR Marsh,2024-2024,1,1,0,37,37,37,28,132.14,0,0,0,3,2
NM Coulter-Nile,2017-2019,6,4,1,36,18,12,26,138.46,0,0,0,3,2
PSP Handscomb,2019-2019,2,2,1,33,20*,33,33,100,0,0,0,1,0
AT Carey,2018-2018,3,2,0,31,27,15.5,25,124,0,0,0,4,0
AM Hardie,2023-2023,4,3,0,30,16,10,31,96.77,0,0,0,5,0
PJ Cummins,2019-2024,6,4,4,22,11*,-,12,183.33,0,0,0,2,1
TD Paine,2017-2017,2,1,0,17,17,17,16,106.25,0,0,0,1,1
DA Warner,2017-2024,3,3,0,16,8,5.33,16,100,0,0,0,3,0
SA Abbott,2020-2023,6,2,1,13,12*,13,10,130,0,0,0,0,1
JR Philippe,2023-2023,2,2,0,12,8,6,11,109.09,0,0,0,3,0
MJ Swepson,2020-2020,3,1,1,12,12*,-,5,240,0,0,0,1,1
AJ Tye,2017-2020,7,2,2,12,12*,-,15,80,0,0,0,2,0
DT Christian,2017-2017,1,1,0,9,9,9,13,69.23,0,0,0,0,0
JA Richardson,2019-2019,2,1,1,7,7*,-,3,233.33,0,0,0,1,0
NT Ellis,2022-2023,5,2,1,5,4*,5,10,50,0,0,0,0,0
MA Starc,2018-2024,3,2,1,5,4*,5,9,55.55,0,0,0,0,0
A Zampa,2017-2024,15,2,1,5,4*,5,6,83.33,0,0,0,1,0
JP Behrendorff,2017-2023,10,1,1,2,2*,-,2,100,0,0,0,0,0
CJ Green,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
T Sangha,2023-2023,5,1,1,2,2*,-,4,50,0,0,0,0,0
BJ Dwarshuis,2023-2023,2,2,0,1,1,0.5,3,33.33,0,0,1,0,0
AJ Turner,2019-2019,2,1,0,0,0,0,5,0,0,0,1,0,0
