Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
GJ Maxwell,2022-2024,2,2,1,113,59,113,73,154.79,0,2,0,12,5
MR Marsh,2022-2024,2,2,0,57,45,28.5,39,146.15,0,0,0,5,2
MP Stoinis,2022-2024,2,2,0,36,25,18,38,94.73,0,0,0,1,2
DA Warner,2022-2024,2,2,0,28,25,14,26,107.69,0,0,0,5,0
MS Wade,2022-2024,2,2,0,11,6,5.5,15,73.33,0,0,0,1,0
A Zampa,2022-2024,2,2,1,10,9,10,8,125,0,0,0,1,0
JR Hazlewood,2022-2024,2,1,1,5,5*,-,7,71.42,0,0,0,0,0
SPD Smith,2022-2022,1,1,0,4,4,4,4,100,0,0,0,1,0
PJ Cummins,2022-2024,2,2,0,3,3,1.5,11,27.27,0,0,1,0,0
C Green,2022-2022,1,1,0,3,3,3,2,150,0,0,0,0,0
AC Agar,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0
TH David,2024-2024,1,1,0,2,2,2,4,50,0,0,0,0,0
KW Richardson,2022-2022,1,1,0,1,1,1,1,100,0,0,0,0,0
TM Head,2024-2024,1,1,0,0,0,0,3,0,0,0,1,0,0
