Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
MR Marsh,2021-2024,7,7,1,173,51,28.83,169,102.36,0,1,0,18,3
DA Warner,2021-2024,2,2,1,71,53*,71,49,144.89,0,1,0,8,3
BR McDermott,2021-2021,3,3,0,57,35,19,69,82.6,0,0,0,0,3
DT Christian,2021-2021,3,3,1,49,39,24.5,28,175,0,0,0,2,5
MS Wade,2021-2024,7,5,0,42,22,8.4,60,70,0,0,0,0,2
AJ Finch,2021-2021,1,1,0,40,40,40,20,200,0,0,0,2,4
MC Henriques,2021-2021,5,5,0,40,30,8,46,86.95,0,0,0,3,1
AC Agar,2021-2021,5,4,0,36,27,9,44,81.81,0,0,1,2,1
AT Carey,2021-2021,5,5,1,35,20*,8.75,40,87.5,0,0,1,3,1
TM Head,2024-2024,1,1,0,31,31,31,21,147.61,0,0,0,3,2
MA Starc,2021-2024,4,2,1,27,14,27,24,112.5,0,0,0,2,0
AJ Turner,2021-2021,5,4,1,21,9*,7,40,52.5,0,0,0,1,0
JR Philippe,2021-2021,2,2,0,19,10,9.5,19,100,0,0,0,1,1
GJ Maxwell,2021-2024,2,2,2,14,14*,-,6,233.33,0,0,0,1,1
AJ Tye,2021-2021,3,3,2,7,4*,7,13,53.84,0,0,1,0,0
A Zampa,2021-2024,6,2,0,4,4,2,5,80,0,0,1,0,0
JR Hazlewood,2021-2024,6,1,1,2,2*,-,3,66.66,0,0,0,0,0
NT Ellis,2021-2021,2,1,0,1,1,1,7,14.28,0,0,0,0,0
MJ Swepson,2021-2021,2,1,1,1,1*,-,1,100,0,0,0,0,0
