Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
AJ Finch,2018-2022,9,9,1,298,84,37.25,207,143.96,0,1,1,30,13
GJ Maxwell,2018-2024,10,10,1,235,103*,26.11,176,133.52,1,0,0,18,9
MP Stoinis,2018-2024,11,10,2,185,35,23.12,128,144.53,0,0,2,14,10
DA Warner,2018-2024,8,8,0,181,73,22.62,129,140.31,0,2,1,15,6
MR Marsh,2020-2024,5,5,1,155,45,38.75,117,132.47,0,0,1,10,7
AC Agar,2018-2021,7,5,1,92,29,23,81,113.58,0,0,0,6,3
DJM Short,2018-2018,3,3,1,82,36*,41,65,126.15,0,0,0,8,3
MS Wade,2020-2024,6,5,2,80,21,26.66,62,129.03,0,0,0,7,2
TM Head,2018-2024,3,3,0,55,34,18.33,41,134.14,0,0,0,3,3
TH David,2022-2024,4,3,0,51,40,17,34,150,0,0,1,5,2
PJ Cummins,2020-2024,6,5,3,43,18*,21.5,20,215,0,0,1,1,4
SPD Smith,2020-2022,5,5,1,39,18,9.75,35,111.42,0,0,0,4,2
CA Lynn,2018-2018,2,2,0,31,31,15.5,21,147.61,0,0,1,4,2
AJ Tye,2018-2018,3,1,0,20,20,20,11,181.81,0,0,0,0,2
MA Starc,2020-2024,7,3,2,15,13,15,7,214.28,0,0,0,1,1
AT Carey,2018-2020,5,4,1,11,5*,3.66,20,55,0,0,0,0,0
B Stanlake,2018-2018,3,1,0,7,7,7,5,140,0,0,0,0,1
DR Sams,2022-2022,1,1,0,6,6,6,4,150,0,0,0,1,0
MJ Swepson,2018-2022,2,2,2,5,3*,-,5,100,0,0,0,0,0
C Green,2022-2022,1,1,0,1,1,1,2,50,0,0,0,0,0
A Zampa,2020-2024,7,1,0,1,1,1,4,25,0,0,0,0,0
NT Ellis,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0
JR Hazlewood,2020-2024,5,1,1,0,0*,-,0,-,0,0,0,0,0
KW Richardson,2018-2022,7,2,1,0,0*,0,2,0,0,0,1,0,0
