Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls Faced,Strike rate,100s,50s,0's,4's,6's
GJ Maxwell,2018-2024,13,13,3,291,70,29.1,170,171.17,0,1,0,30,16
AJ Finch,2018-2022,9,9,3,269,79*,44.83,192,140.1,0,2,0,24,12
MR Marsh,2021-2024,9,9,3,258,77*,43,182,141.75,0,2,1,17,17
DA Warner,2018-2024,6,6,0,180,59,30,119,151.26,0,2,0,13,11
MP Stoinis,2018-2022,10,7,1,151,78,25.16,114,132.45,0,1,0,13,7
DJM Short,2018-2018,3,3,0,130,76,43.33,78,166.66,0,2,0,15,6
JR Philippe,2021-2021,5,5,0,105,45,21,87,120.68,0,0,0,6,4
TM Head,2024-2024,3,3,0,102,45,34,67,152.23,0,0,0,10,7
MS Wade,2021-2024,9,7,0,102,44,14.57,79,129.11,0,0,0,8,5
TH David,2022-2024,4,4,2,67,31*,33.5,40,167.5,0,0,0,5,5
CA Lynn,2018-2018,3,2,0,62,44,31,46,134.78,0,0,0,7,2
PJ Cummins,2021-2024,4,2,0,49,28,24.5,40,122.5,0,0,0,7,1
DR Sams,2021-2021,2,2,0,42,41,21,18,233.33,0,0,0,2,4
JP Inglis,2024-2024,3,3,1,39,20,19.5,31,125.8,0,0,0,2,2
AC Agar,2018-2021,8,5,0,31,23,6.2,29,106.89,0,0,2,2,1
MW Short,2024-2024,2,1,0,27,27,27,11,245.45,0,0,0,1,3
JA Richardson,2021-2021,5,4,2,23,11,11.5,25,92,0,0,0,1,1
SPD Smith,2021-2024,3,2,0,15,11,7.5,10,150,0,0,0,2,1
A Zampa,2018-2024,11,3,1,14,13*,7,13,107.69,0,0,1,2,0
NT Ellis,2024-2024,2,1,1,11,11*,-,15,73.33,0,0,0,0,0
KW Richardson,2018-2021,8,3,2,7,5,7,7,100,0,0,0,0,0
MA Starc,2021-2024,4,1,0,4,4,4,7,57.14,0,0,0,0,0
AT Carey,2018-2018,3,2,2,1,1*,-,1,100,0,0,0,0,0
JR Hazlewood,2021-2024,4,2,1,1,1*,1,2,50,0,0,1,0,0
SH Johnson,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
RP Meredith,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,-
B Stanlake,2018-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,2018-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
