Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
AJ Finch,2018-2022,11,11,3,296,68*,37,199,148.74,0,3,2,27,14
DJM Short,2018-2018,6,6,0,135,76,22.5,130,103.84,0,1,0,13,4
DA Warner,2019-2021,4,4,2,119,49,59.5,80,148.75,0,0,0,11,5
MP Stoinis,2018-2022,5,4,1,91,40*,30.33,65,140,0,0,0,9,3
SPD Smith,2019-2021,4,2,1,85,80*,85,57,149.12,0,1,0,12,1
GJ Maxwell,2018-2021,7,6,0,80,52,13.33,75,106.66,0,1,0,6,2
TM Head,2018-2022,4,4,1,72,26,24,47,153.19,0,0,0,7,2
MR Marsh,2018-2021,3,3,0,70,28,23.33,69,101.44,0,0,0,4,2
BR McDermott,2018-2022,7,5,1,67,22*,16.75,67,100,0,0,1,6,1
AT Carey,2018-2019,9,5,1,61,37*,15.25,43,141.86,0,0,0,4,4
NM Coulter-Nile,2018-2018,3,3,0,61,34,20.33,47,129.78,0,0,1,6,3
MS Wade,2021-2021,1,1,1,41,41*,-,17,241.17,0,0,0,2,4
AC Agar,2018-2019,7,3,0,37,19,12.33,38,97.36,0,0,0,3,1
CA Lynn,2018-2018,3,3,0,36,15,12,40,90,0,0,0,4,1
AJ Tye,2018-2018,6,5,2,25,12*,8.33,23,108.69,0,0,1,1,1
JP Inglis,2022-2022,1,1,0,24,24,24,15,160,0,0,0,2,1
A Zampa,2018-2022,7,3,1,12,9,6,17,70.58,0,0,0,1,0
AJ Turner,2019-2019,3,1,1,8,8*,-,15,53.33,0,0,0,0,0
JA Richardson,2018-2018,3,1,1,6,6*,-,2,300,0,0,0,1,0
NJ Maddinson,2018-2018,2,1,0,5,5,5,8,62.5,0,0,0,0,0
NM Lyon,2018-2018,1,1,1,4,4*,-,4,100,0,0,0,0,0
C Green,2022-2022,1,1,0,2,2,2,7,28.57,0,0,0,0,0
M Labuschagne,2022-2022,1,1,0,2,2,2,4,50,0,0,0,0,0
B Stanlake,2018-2019,6,1,1,2,2*,-,7,28.57,0,0,0,0,0
JD Wildermuth,2018-2018,1,1,1,1,1*,-,1,100,0,0,0,0,0
SA Abbott,2019-2022,2,1,0,0,0,0,1,0,0,0,1,0,0
BJ Dwarshuis,2022-2022,1,1,1,0,0*,-,2,0,0,0,0,0,0
