Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
MR Marsh,2020-2023,7,7,2,241,92*,48.2,155,155.48,0,2,0,27,10
DA Warner,2020-2021,4,4,1,142,67*,47.33,110,129.09,0,2,0,14,3
SPD Smith,2020-2021,4,4,1,139,45,46.33,107,129.9,0,0,0,9,4
AJ Finch,2018-2021,5,5,0,118,55,23.6,87,135.63,0,1,1,15,2
TM Head,2023-2023,3,3,0,115,91,38.33,68,169.11,0,1,0,12,7
MW Short,2023-2023,3,3,0,86,66,28.66,42,204.76,0,1,1,9,5
MP Stoinis,2018-2023,5,4,2,72,37*,36,49,146.93,0,0,0,6,4
TH David,2023-2023,3,2,0,65,64,32.5,30,216.66,0,1,0,7,4
AT Carey,2018-2020,4,4,0,56,27,14,45,124.44,0,0,0,3,2
GJ Maxwell,2018-2021,2,2,0,56,38,28,44,127.27,0,0,0,3,2
JP Inglis,2023-2023,3,3,1,45,42,22.5,28,160.71,0,0,0,1,4
MS Wade,2020-2021,4,4,1,44,18,14.66,32,137.5,0,0,0,4,1
AM Hardie,2023-2023,2,1,0,23,23,23,14,164.28,0,0,0,3,1
AC Agar,2020-2020,3,3,2,22,20*,22,15,146.66,0,0,0,2,1
CA Lynn,2018-2018,1,1,0,14,14,14,10,140,0,0,0,3,0
MA Starc,2020-2021,4,2,2,9,7*,-,5,180,0,0,0,0,1
BR McDermott,2018-2018,1,1,0,4,4,4,6,66.66,0,0,0,0,0
SA Abbott,2023-2023,3,1,1,3,3*,-,3,100,0,0,0,0,0
NM Coulter-Nile,2018-2018,1,1,1,2,2*,-,4,50,0,0,0,0,0
AJ Turner,2023-2023,1,1,1,2,2*,-,2,100,0,0,0,0,0
DJM Short,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0
