Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
DA Warner,2021-2024,6,6,1,351,89*,70.2,207,169.56,0,4,0,46,12
MR Marsh,2021-2024,10,10,0,337,75,33.7,217,155.29,0,4,0,30,16
AJ Finch,2021-2022,8,8,0,209,58,26.12,187,111.76,0,2,0,21,3
MS Wade,2021-2024,11,9,2,170,39*,24.28,118,144.06,0,0,1,17,5
TH David,2022-2024,5,5,3,151,42,75.5,74,204.05,0,0,1,12,11
GJ Maxwell,2021-2024,6,6,2,143,120*,35.75,84,170.23,1,0,1,15,8
MC Henriques,2021-2021,5,5,0,95,33,19,77,123.37,0,0,0,4,5
JP Inglis,2024-2024,3,3,0,44,39,14.66,34,129.41,0,0,0,6,1
DT Christian,2021-2021,4,4,2,42,22*,21,37,113.51,0,0,0,3,1
AJ Turner,2021-2021,2,2,0,30,24,15,32,93.75,0,0,0,2,0
MA Starc,2021-2022,7,4,3,25,8*,25,27,92.59,0,0,0,1,0
MP Stoinis,2021-2024,3,2,0,25,16,12.5,21,119.04,0,0,0,2,1
AT Carey,2021-2021,3,3,0,22,13,7.33,24,91.66,0,0,1,3,0
JR Hazlewood,2021-2024,9,3,1,17,13*,8.5,8,212.5,0,0,1,2,1
SPD Smith,2021-2022,2,1,0,17,17,17,16,106.25,0,0,0,2,0
AM Hardie,2024-2024,1,1,0,16,16,16,16,100,0,0,0,2,0
C Green,2022-2022,2,2,0,15,14,7.5,14,107.14,0,0,0,1,1
AJ Tye,2021-2021,1,1,0,15,15,15,8,187.5,0,0,0,1,1
JR Philippe,2021-2021,3,3,0,14,13,4.66,20,70,0,0,1,1,0
MJ Swepson,2021-2021,1,1,1,14,14*,-,12,116.66,0,0,0,0,1
BR McDermott,2021-2021,2,2,0,9,7,4.5,12,75,0,0,0,1,0
A Zampa,2021-2024,11,4,2,8,4*,4,7,114.28,0,0,1,1,0
JP Behrendorff,2021-2024,5,1,0,5,5,5,7,71.42,0,0,0,0,0
PJ Cummins,2021-2022,3,2,1,5,4,5,9,55.55,0,0,0,0,0
AC Agar,2021-2021,2,2,0,2,1,1,6,33.33,0,0,0,0,0
SA Abbott,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
