Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
JP Behrendorff,2017-2023,10,9,31,2,209,13,Apr-21,16.07,6.74,14.3,1,0
A Zampa,2017-2024,15,14,49,1,361,12,Mar-16,30.08,7.36,24.5,0,0
NT Ellis,2022-2023,5,5,20,0,197,7,Mar-30,28.14,9.85,17.1,0,0
NM Coulter-Nile,2017-2019,6,5,16,0,142,6,Mar-26,23.66,8.87,16,0,0
MP Stoinis,2017-2024,11,6,18,0,188,6,Feb-27,31.33,10.44,18,0,0
BJ Dwarshuis,2023-2023,2,2,8,0,70,5,Mar-40,14,8.75,9.6,0,0
T Sangha,2023-2023,5,5,20,0,179,5,Feb-30,35.8,8.95,24,0,0
MA Starc,2018-2024,3,3,12,0,105,5,Feb-34,21,8.75,14.4,0,0
MJ Swepson,2020-2020,3,3,10,0,69,5,Mar-23,13.8,6.9,12,0,0
AJ Tye,2017-2020,7,6,19.4,0,197,5,Jan-30,39.4,10.01,23.6,0,0
PJ Cummins,2019-2024,6,6,21,0,217,4,Jan-19,54.25,10.33,31.5,0,0
JR Hazlewood,2020-2024,5,5,17,0,152,4,Feb-39,38,8.94,25.5,0,0
AM Hardie,2023-2023,4,3,11,1,105,3,Jan-20,35,9.54,22,0,0
MC Henriques,2017-2020,5,2,5,0,31,3,Mar-22,10.33,6.2,10,0,0
DR Sams,2020-2022,4,4,10.5,0,123,3,Feb-33,41,11.35,21.6,0,0
SA Abbott,2020-2023,6,6,15.5,0,199,2,Jan-43,99.5,12.56,47.5,0,0
GJ Maxwell,2017-2024,16,7,13,0,153,2,Jan-20,76.5,11.76,39,0,0
C Green,2022-2022,3,2,6,0,60,1,Jan-46,60,10,36,0,0
KW Richardson,2023-2023,1,1,3,0,34,1,Jan-34,34,11.33,18,0,0
DJM Short,2018-2020,8,2,5,0,39,1,Jan-29,39,7.8,30,0,0
MW Short,2023-2023,4,2,2,0,23,1,Jan-13,23,11.5,12,0,0
B Stanlake,2018-2018,1,1,3,0,27,1,Jan-27,27,9,18,0,0
DT Christian,2017-2017,1,1,0.3,0,7,0,-,-,14,-,0,0
CJ Green,2023-2023,1,1,4,0,36,0,-,-,9,-,0,0
JA Richardson,2019-2019,2,2,8,0,76,0,-,-,9.5,-,0,0
