Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
A Zampa,2021-2024,6,6,24,0,143,12,May-19,11.91,5.95,12,0,1
JR Hazlewood,2021-2024,6,6,21.4,1,118,10,Mar-24,11.8,5.44,13,0,0
MA Starc,2021-2024,4,4,15,0,103,6,Feb-21,17.16,6.86,15,0,0
NT Ellis,2021-2021,2,2,8,0,50,5,Mar-34,10,6.25,9.6,0,0
AJ Tye,2021-2021,3,3,10,0,67,5,Mar-18,13.4,6.7,12,0,0
AC Agar,2021-2021,5,5,20,0,112,3,Jan-17,37.33,5.6,40,0,0
PJ Cummins,2021-2024,2,2,7,0,47,3,Mar-29,15.66,6.71,14,0,0
MJ Swepson,2021-2021,2,2,6,0,26,3,03-Dec,8.66,4.33,12,0,0
DT Christian,2021-2021,3,2,6,0,26,2,Feb-17,13,4.33,18,0,0
GJ Maxwell,2021-2024,2,2,4,0,20,2,01-Jun,10,5,12,0,0
MP Stoinis,2021-2024,2,1,2,0,24,1,Jan-24,24,12,12,0,0
AJ Turner,2021-2021,5,3,7,0,40,1,Jan-16,40,5.71,42,0,0
MC Henriques,2021-2021,5,1,1,0,5,0,-,-,5,-,0,0
MR Marsh,2021-2024,7,2,2,0,21,0,-,-,10.5,-,0,0
