Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
AC Agar,2018-2021,7,7,25.4,0,185,8,Feb-15,23.12,7.2,19.2,0,0
KW Richardson,2018-2022,7,7,25,0,221,8,Mar-33,27.62,8.84,18.7,0,0
A Zampa,2020-2024,7,7,23.5,0,231,8,Feb-26,28.87,9.69,17.8,0,0
MP Stoinis,2018-2024,11,6,17,0,137,7,Mar-34,19.57,8.05,14.5,0,0
PJ Cummins,2020-2024,6,6,18,0,137,5,Feb-23,27.4,7.61,21.6,0,0
GJ Maxwell,2018-2024,10,6,12,0,89,5,03-Oct,17.8,7.41,14.4,0,0
B Stanlake,2018-2018,3,3,11,0,115,4,Feb-28,28.75,10.45,16.5,0,0
NT Ellis,2022-2022,1,1,4,0,20,3,Mar-20,6.66,5,8,0,0
JR Hazlewood,2020-2024,5,5,17,0,144,3,Jan-23,48,8.47,34,0,0
MA Starc,2020-2024,7,7,23,0,202,3,Jan-20,67.33,8.78,46,0,0
MJ Swepson,2018-2022,2,2,6,0,68,2,Feb-37,34,11.33,18,0,0
AJ Tye,2018-2018,3,3,12,0,94,2,Jan-28,47,7.83,36,0,0
DR Sams,2022-2022,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0
C Green,2022-2022,1,1,3,0,38,0,-,-,12.66,-,0,0
TM Head,2018-2024,3,1,1,0,14,0,-,-,14,-,0,0
