Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
AC Agar,2018-2021,8,8,28,0,190,13,Jun-30,14.61,6.78,12.9,0,1
A Zampa,2018-2024,11,11,35.3,0,329,12,Apr-34,27.41,9.26,17.7,1,0
KW Richardson,2018-2021,8,8,27,0,235,11,Mar-19,21.36,8.7,14.7,0,0
AJ Tye,2018-2018,3,3,12,0,117,8,Apr-23,14.62,9.75,9,1,0
JR Hazlewood,2021-2024,4,4,16,1,105,6,Mar-16,17.5,6.56,16,0,0
B Stanlake,2018-2018,3,3,12,0,95,5,Mar-15,19,7.91,14.4,0,0
RP Meredith,2021-2021,3,3,11,0,83,4,Feb-24,20.75,7.54,16.5,0,0
JA Richardson,2021-2021,5,5,16,0,139,4,Feb-31,34.75,8.68,24,0,0
DR Sams,2021-2021,2,2,8,0,86,3,Feb-40,28.66,10.75,16,0,0
PJ Cummins,2021-2024,4,4,15,0,135,2,Jan-19,67.5,9,45,0,0
NT Ellis,2024-2024,2,2,5,0,27,2,Feb-16,13.5,5.4,15,0,0
MR Marsh,2021-2024,9,3,7,0,50,2,Jan-18,25,7.14,21,0,0
GJ Maxwell,2018-2024,13,5,10,0,98,2,Feb-14,49,9.8,30,0,0
MP Stoinis,2018-2022,10,7,17,0,153,2,Jan-17,76.5,9,51,0,0
SH Johnson,2024-2024,1,1,2,0,10,1,01-Oct,10,5,12,0,0
MW Short,2024-2024,2,1,2,0,33,1,Jan-33,33,16.5,12,0,0
MA Starc,2021-2024,4,4,14,0,150,1,Jan-39,150,10.71,84,0,0
DJM Short,2018-2018,3,1,1,0,19,0,-,-,19,-,0,0
