Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
A Zampa,2017-2022,10,10,40,0,230,17,Mar-14,13.52,5.75,14.1,0,0
JR Hazlewood,2021-2022,8,8,32,2,174,15,04-Dec,11.6,5.43,12.8,2,0
KW Richardson,2019-2022,10,10,37,0,296,15,Apr-30,19.73,8,14.8,1,0
PJ Cummins,2017-2022,10,10,38,0,288,13,Feb-23,22.15,7.57,17.5,0,0
MA Starc,2019-2022,7,7,28,0,197,10,Mar-26,19.7,7.03,16.8,0,0
AC Agar,2019-2022,10,10,40,0,211,8,Feb-27,26.37,5.27,30,0,0
JA Richardson,2017-2022,6,6,22,0,192,8,Mar-26,24,8.72,16.5,0,0
JP Faulkner,2017-2017,3,3,11,0,79,5,Mar-20,15.8,7.18,13.2,0,0
GJ Maxwell,2019-2022,12,8,14,0,111,4,Feb-18,27.75,7.92,21,0,0
MP Stoinis,2021-2022,10,6,15,0,115,3,02-Aug,38.33,7.66,30,0,0
AJ Turner,2017-2019,6,3,6,0,42,3,02-Dec,14,7,12,0,0
AJ Tye,2017-2017,2,2,7,0,69,3,Mar-37,23,9.85,14,0,0
B Stanlake,2017-2019,2,2,7,0,65,2,Feb-23,32.5,9.28,21,0,0
TM Head,2017-2017,3,1,2,0,16,1,Jan-16,16,8,12,0,0
MC Henriques,2017-2017,3,2,5,0,48,0,-,-,9.6,-,0,0
MR Marsh,2021-2022,4,3,4,0,42,0,-,-,10.5,-,0,0
DR Sams,2022-2022,3,3,7.1,0,54,0,-,-,7.53,-,0,0
