web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 wkts,5 wkts
"1721716639-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","A Zampa","2019-2024","65","65","239.5","0","1822","82","5/19","22.21","7.59","17.5","2","1"
"1721716639-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","JR Hazlewood","2020-2024","44","44","165.4","7","1180","57","4/12","20.70","7.12","17.4","3","0"
"1721716639-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MA Starc","2019-2024","42","42","155.3","1","1289","48","4/20","26.85","8.28","19.4","1","0"
"1721716639-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","PJ Cummins","2019-2024","37","37","133.0","1","1025","41","3/28","25.00","7.70","19.4","0","0"
"1721716639-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","AC Agar","2019-2024","34","34","129.4","1","800","39","6/30","20.51","6.16","19.9","0","2"
"1721716639-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","KW Richardson","2019-2023","27","27","92.0","0","760","36","4/30","21.11","8.26","15.3","1","0"
"1721716639-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MP Stoinis","2020-2024","47","26","70.0","0","622","30","3/18","20.73","8.88","14.0","0","0"
"1721716639-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","NT Ellis","2021-2024","17","17","62.0","2","482","28","4/28","17.21","7.77","13.2","1","0"
"1721716639-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","GJ Maxwell","2019-2024","54","35","69.1","0","606","17","2/14","35.64","8.76","24.4","0","0"
"1721716639-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","SA Abbott","2019-2024","12","12","37.5","1","352","14","4/31","25.14","9.30","16.2","1","0"
"1721716639-11","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","JP Behrendorff","2021-2024","10","10","37.0","2","326","11","2/25","29.63","8.81","20.1","0","0"
"1721716639-12","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MR Marsh","2020-2024","50","16","31.0","0","231","11","3/24","21.00","7.45","16.9","0","0"
