Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Litton Das,2018-2024,10,10,1,227,60,25.22,207,109.66,0,2,1,21,5
Mahmudullah,2018-2024,9,9,0,200,45,22.22,175,114.28,0,0,0,17,5
Shakib Al Hasan,2018-2024,11,11,2,175,70*,19.44,148,118.24,0,1,1,18,3
Mushfiqur Rahim,2018-2022,7,7,0,150,46,21.42,129,116.27,0,0,0,14,2
Mosaddek Hossain,2018-2022,5,5,2,93,48*,31,77,120.77,0,0,1,7,1
Afif Hossain,2019-2023,6,6,0,86,25,14.33,86,100,0,0,0,5,2
Towhid Hridoy,2023-2024,3,3,1,80,47*,40,58,137.93,0,0,0,6,3
Tamim Iqbal,2018-2018,3,3,0,48,43,16,55,87.27,0,0,1,6,0
Shamim Hossain,2023-2023,2,2,1,40,33,40,32,125,0,0,0,5,0
Sabbir Rahman,2018-2019,4,4,0,38,24,9.5,39,97.43,0,0,1,4,0
Najmul Hossain Shanto,2019-2024,4,4,0,28,14,7,31,90.32,0,0,0,1,1
Soumya Sarkar,2018-2024,4,4,0,28,15,7,33,84.84,0,0,1,2,1
Abu Hider,2018-2018,2,1,1,21,21*,-,14,150,0,0,0,1,2
Mohammad Naim,2022-2022,3,3,0,21,13,7,32,65.62,0,0,0,3,0
Munim Shahriar,2022-2022,2,2,0,21,17,10.5,28,75,0,0,0,4,0
Mustafizur Rahman,2019-2024,8,3,1,21,15,10.5,13,161.53,0,0,1,2,1
Mahedi Hasan,2022-2022,3,3,0,19,14,6.33,20,95,0,0,1,2,0
Nazmul Islam,2018-2018,3,2,2,10,6*,-,7,142.85,0,0,0,1,0
Mehidy Hasan Miraz,2018-2023,3,1,0,8,8,8,6,133.33,0,0,0,1,0
Nasum Ahmed,2022-2023,4,3,2,8,5*,8,12,66.66,0,0,1,0,0
Shoriful Islam,2022-2023,3,3,2,8,4*,8,5,160,0,0,1,2,0
Yasir Ali,2022-2022,1,1,0,8,8,8,7,114.28,0,0,0,1,0
Abul Hasan,2018-2018,1,1,0,5,5,5,3,166.66,0,0,0,1,0
Anamul Haque,2022-2022,1,1,0,5,5,5,14,35.71,0,0,0,0,0
Ariful Haque,2018-2018,1,1,1,5,5*,-,3,166.66,0,0,0,0,0
Rony Talukdar,2023-2023,1,1,0,4,4,4,5,80,0,0,0,1,0
Tanzim Hasan Sakib,2024-2024,1,1,0,3,3,3,10,30,0,0,0,0,0
Mohammad Saifuddin,2019-2022,3,2,1,2,2,2,3,66.66,0,0,0,0,0
Taskin Ahmed,2022-2024,4,2,0,2,2,1,10,20,0,0,1,0,0
Abu Jayed,2018-2018,2,1,0,1,1,1,4,25,0,0,0,0,0
Rishad Hossain,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
Rubel Hossain,2018-2018,2,1,0,0,0,0,1,0,0,0,1,0,0
Taijul Islam,2019-2019,1,1,1,0,0*,-,1,0,0,0,0,0,0
Tanzid Hasan,2024-2024,1,1,0,0,0,0,3,0,0,0,1,0,0
