Player,Span,Mat,Inns,Not Out,Runs,Highest score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Shakib Al Hasan,2021-2024,6,6,0,122,36,20.33,123,99.18,0,0,0,12,0
Afif Hossain,2021-2021,6,6,1,109,37*,21.8,93,117.2,0,0,1,9,4
Mahmudullah,2021-2024,7,7,0,109,52,15.57,115,94.78,0,1,2,6,2
Mohammad Naim,2021-2021,6,6,0,108,30,18,119,90.75,0,0,0,8,3
Mahedi Hasan,2021-2024,7,7,1,72,23,12,71,101.4,0,0,2,3,2
Nurul Hasan,2021-2021,5,5,1,44,22*,11,44,100,0,0,1,3,1
Najmul Hossain Shanto,2024-2024,1,1,0,41,41,41,36,113.88,0,0,0,5,1
Towhid Hridoy,2024-2024,1,1,0,40,40,40,28,142.85,0,0,0,2,2
Soumya Sarkar,2021-2021,6,6,0,33,16,5.5,58,56.89,0,0,1,2,2
Shamim Hossain,2021-2021,5,4,0,29,19,7.25,35,82.85,0,0,0,1,1
Taskin Ahmed,2021-2024,2,2,2,19,13*,-,18,105.55,0,0,0,1,0
Litton Das,2021-2024,2,2,0,16,16,8,26,61.53,0,0,1,2,0
Mosaddek Hossain,2021-2021,1,1,1,4,4*,-,8,50,0,0,0,1,0
Mustafizur Rahman,2021-2024,7,3,1,4,4,2,11,36.36,0,0,1,0,0
Tanzim Hasan Sakib,2024-2024,1,1,1,4,4*,-,3,133.33,0,0,0,0,0
Nasum Ahmed,2021-2021,5,1,1,2,2*,-,5,40,0,0,0,0,0
Rishad Hossain,2024-2024,1,1,0,2,2,2,4,50,0,0,0,0,0
Mushfiqur Rahim,2021-2021,1,1,0,1,1,1,2,50,0,0,0,0,0
Mohammad Saifuddin,2021-2021,1,1,0,0,0,0,0,-,0,0,1,0,0
Shoriful Islam,2021-2021,5,3,1,0,0*,0,3,0,0,0,2,0,0
Tanzid Hasan,2024-2024,1,1,0,0,0,0,3,0,0,0,1,0,0
