Player,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Najmul Hossain Shanto,3,3,2,144,51,144,113,127.43,0,1,0,12,2
Litton Das,4,4,0,103,73,25.75,84,122.61,0,1,0,15,1
Rony Talukdar,3,3,0,54,24,18,50,108,0,0,0,8,0
Shakib Al Hasan,4,4,2,42,34*,21,40,105,0,0,1,6,0
Towhid Hridoy,3,2,0,41,24,20.5,35,117.14,0,0,0,4,1
Mushfiqur Rahim,1,1,0,29,29,29,30,96.66,0,0,0,3,0
Afif Hossain,3,3,1,22,15*,11,22,100,0,0,0,3,0
Mehidy Hasan Miraz,2,1,0,20,20,20,16,125,0,0,0,0,2
Mahmudullah,1,1,0,19,19,19,24,79.16,0,0,0,1,0
Nasum Ahmed,3,1,1,19,19*,-,9,211.11,0,0,0,1,2
Nurul Hasan,1,1,0,16,16,16,18,88.88,0,0,0,0,0
Mahedi Hasan,1,1,0,11,11,11,10,110,0,0,0,2,0
Taskin Ahmed,3,1,1,8,8*,-,3,266.66,0,0,0,2,0
Mohammad Naim,1,1,0,5,5,5,7,71.42,0,0,0,0,0
Mustafizur Rahman,4,1,0,0,0,0,1,0,0,0,1,0,0
