Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike rate,100s,50s,0's,4's,6's
Litton Das,2018-2024,8,8,0,170,60,21.25,116,146.55,0,1,0,19,5
Mushfiqur Rahim,2018-2019,6,6,2,163,72*,40.75,131,124.42,0,2,1,18,3
Mohammad Naim,2019-2019,3,3,0,143,81,47.66,107,133.64,0,1,0,17,3
Sabbir Rahman,2018-2018,3,3,0,134,77,44.66,99,135.35,0,1,0,12,6
Mahmudullah,2018-2024,7,7,1,99,30,16.5,85,116.47,0,0,0,10,1
Soumya Sarkar,2018-2019,6,6,0,85,39,14.16,73,116.43,0,0,1,4,4
Najmul Hossain Shanto,2022-2024,2,2,0,61,40,30.5,57,107.01,0,0,0,2,4
Tamim Iqbal,2018-2018,3,3,0,57,27,19,48,118.75,0,0,0,7,1
Shakib Al Hasan,2018-2024,3,3,0,31,13,10.33,26,119.23,0,0,0,4,1
Mehidy Hasan Miraz,2018-2018,3,3,1,29,19*,14.5,17,170.58,0,0,0,3,1
Tanzid Hasan,2024-2024,1,1,0,29,29,29,31,93.54,0,0,0,4,0
Mohammad Mithun,2019-2019,1,1,0,27,27,27,29,93.1,0,0,0,2,1
Jaker Ali,2023-2024,2,2,1,25,24*,25,33,75.75,0,0,0,0,1
Nurul Hasan,2022-2022,1,1,1,25,25*,-,14,178.57,0,0,0,2,1
Rishad Hossain,2024-2024,1,1,0,24,24,24,10,240,0,0,0,1,3
Parvez Hossain Emon,2023-2023,1,1,0,23,23,23,32,71.87,0,0,0,0,2
Taskin Ahmed,2018-2022,2,2,2,20,12*,-,16,125,0,0,0,2,1
Afif Hossain,2019-2023,5,4,0,16,7,4,29,55.17,0,0,1,0,0
Aminul Islam,2019-2019,3,2,1,14,9,14,14,100,0,0,0,2,0
Rakibul Hasan,2023-2023,1,1,0,14,14,14,6,233.33,0,0,0,2,1
Mosaddek Hossain,2019-2022,3,2,1,13,7*,13,12,108.33,0,0,0,0,1
Mahedi Hasan,2024-2024,1,1,1,5,5*,-,4,125,0,0,0,1,0
Mahmudul Hasan Joy,2023-2023,1,1,0,5,5,5,10,50,0,0,0,0,0
Shahadat Hossain (3),2023-2023,1,1,0,5,5,5,7,71.42,0,0,0,0,0
Mrittunjoy Chowdhury,2023-2023,1,1,0,4,4,4,11,36.36,0,0,0,0,0
Shafiul Islam,2019-2019,3,1,0,4,4,4,6,66.66,0,0,0,0,0
Towhid Hridoy,2024-2024,1,1,0,4,4,4,6,66.66,0,0,0,0,0
Mustafizur Rahman,2018-2024,8,3,2,2,1*,2,8,25,0,0,0,0,0
Saif Hassan,2023-2023,1,1,0,1,1,1,2,50,0,0,0,0,0
Tanzim Hasan Sakib,2024-2024,1,1,1,1,1*,-,1,100,0,0,0,0,0
Yasir Ali,2022-2022,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Abu Hider,2018-2018,1,1,1,0,0*,-,0,-,0,0,0,0,0
Al-Amin Hossain,2019-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0
R Mondol,2023-2023,1,1,0,0,0,0,7,0,0,0,1,0,0
Rubel Hossain,2018-2018,3,2,0,0,0,0,2,0,0,0,2,0,0
Zakir Hasan,2023-2023,1,1,0,0,0,0,2,0,0,0,1,0,0
