Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Mahmudullah,2017-2021,10,10,3,241,52,34.42,227,106.16,0,1,0,20,7
Soumya Sarkar,2017-2023,11,10,0,200,51,20,137,145.98,0,1,1,23,6
Mohammad Naim,2021-2021,8,8,0,189,39,23.62,186,101.61,0,0,0,19,3
Shakib Al Hasan,2017-2022,9,9,0,187,70,20.77,160,116.87,0,1,1,18,1
Afif Hossain,2021-2023,13,11,2,156,49*,17.33,139,112.23,0,0,1,9,5
Litton Das,2021-2023,11,11,1,154,41*,15.4,145,106.2,0,0,1,17,3
Najmul Hossain Shanto,2021-2023,6,5,0,88,33,17.6,76,115.78,0,0,0,15,0
Sabbir Rahman,2017-2017,3,3,0,82,48,27.33,63,130.15,0,0,0,6,4
Nurul Hasan,2017-2022,10,8,3,76,25*,15.2,62,122.58,0,0,0,5,2
Mosaddek Hossain,2017-2022,6,6,1,57,20,11.4,53,107.54,0,0,0,2,3
Mohammad Saifuddin,2021-2022,7,4,2,48,34*,24,56,85.71,0,0,0,4,1
Tamim Iqbal,2017-2017,3,3,0,48,24,16,35,137.14,0,0,0,6,1
Mushfiqur Rahim,2021-2021,5,5,2,39,20*,13,75,52,0,0,2,1,0
Mahedi Hasan,2021-2023,10,6,2,36,19*,9,42,85.71,0,0,2,1,2
Towhid Hridoy,2023-2023,3,2,0,35,19,17.5,36,97.22,0,0,0,2,1
Rony Talukdar,2023-2023,3,2,0,20,10,10,17,117.64,0,0,0,2,1
Taskin Ahmed,2017-2022,5,4,1,17,9,5.66,10,170,0,0,0,3,0
Shoriful Islam,2021-2023,9,3,0,15,6,5,15,100,0,0,0,1,1
Yasir Ali,2022-2022,2,2,0,13,7,6.5,15,86.66,0,0,0,2,0
Shamim Hossain,2021-2023,3,2,0,11,9,5.5,19,57.89,0,0,0,0,0
Rishad Hossain,2023-2023,3,1,0,10,10,10,13,76.92,0,0,0,0,0
Tanvir Islam,2023-2023,1,1,0,8,8,8,7,114.28,0,0,0,1,0
Mustafizur Rahman,2017-2023,10,3,2,7,4,7,18,38.88,0,0,0,0,0
Rubel Hossain,2017-2021,4,4,3,7,3*,7,11,63.63,0,0,0,0,0
Nasum Ahmed,2021-2021,8,4,2,6,3*,3,13,46.15,0,0,1,0,0
Mehidy Hasan Miraz,2022-2022,1,1,0,5,5,5,5,100,0,0,0,1,0
Mohammad Mithun,2021-2021,2,2,0,5,4,2.5,8,62.5,0,0,0,0,0
Mashrafe Mortaza,2017-2017,3,2,0,2,1,1,5,40,0,0,0,0,0
Hasan Mahmud,2022-2022,1,1,1,1,1*,-,1,100,0,0,0,0,0
Imrul Kayes,2017-2017,3,2,0,0,0,0,5,0,0,0,2,0,0
