Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Afif Hossain,2020-2023,9,9,1,186,36,23.25,170,109.41,0,0,0,12,8
Litton Das,2020-2022,5,5,0,134,69,26.8,103,130.09,0,1,0,13,4
Najmul Hossain Shanto,2021-2022,5,5,0,118,54,23.6,116,101.72,0,1,0,15,0
Tamim Iqbal,2020-2020,2,2,0,104,65,52,87,119.54,0,1,0,11,2
Mohammad Naim,2020-2021,5,5,0,93,47,18.6,103,90.29,0,0,1,5,4
Yasir Ali,2022-2023,3,3,1,77,42*,38.5,39,197.43,0,0,0,8,4
Shakib Al Hasan,2022-2022,2,2,0,68,68,34,43,158.13,0,1,1,7,3
Mahmudullah,2020-2021,5,5,1,62,19*,15.5,66,93.93,0,0,0,5,0
Nurul Hasan,2021-2022,6,6,1,53,28,10.6,53,100,0,0,1,3,2
Mahedi Hasan,2020-2021,4,4,2,47,30*,23.5,43,109.3,0,0,0,2,3
Soumya Sarkar,2020-2022,4,4,1,36,20,12,31,116.12,0,0,0,2,1
Shamim Hossain,2021-2021,1,1,0,22,22,22,23,95.65,0,0,0,4,0
Aminul Islam,2020-2021,5,4,2,21,8*,10.5,27,77.77,0,0,0,2,0
Sabbir Rahman,2022-2022,1,1,0,14,14,14,18,77.77,0,0,0,1,0
Taskin Ahmed,2021-2022,6,4,2,13,8*,6.5,20,65,0,0,0,0,1
Mehidy Hasan Miraz,2022-2022,1,1,0,10,10,10,11,90.9,0,0,0,0,1
Nasum Ahmed,2021-2022,3,2,0,7,7,3.5,7,100,0,0,1,1,0
Mohammad Mithun,2020-2020,1,1,1,5,5*,-,3,166.66,0,0,0,1,0
Mosaddek Hossain,2022-2022,2,2,0,5,5,2.5,12,41.66,0,0,1,0,0
Rakibul Hasan,2023-2023,1,1,1,4,4*,-,1,400,0,0,0,1,0
Hasan Mahmud,2022-2022,2,1,1,1,1*,-,2,50,0,0,0,0,0
Mohammad Saifuddin,2022-2022,1,1,1,1,1*,-,1,100,0,0,0,0,0
Saif Hassan,2021-2023,3,3,0,1,1,0.33,10,10,0,0,2,0,0
Jaker Ali,2023-2023,1,1,1,0,0*,-,0,-,0,0,0,0,0
Mustafizur Rahman,2020-2022,6,1,1,0,0*,-,1,0,0,0,0,0,0
Zakir Hasan,2023-2023,1,1,0,0,0,0,2,0,0,0,1,0,0
