Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Soumya Sarkar,2017-2022,4,4,0,106,47,26.5,65,163.07,0,0,1,11,5
Litton Das,2017-2024,4,4,0,76,34,19,87,87.35,0,0,0,3,2
Mohammad Saifuddin,2017-2017,2,2,1,62,39*,62,53,116.98,0,0,0,4,2
Mahmudullah,2017-2024,4,4,0,50,24,12.5,60,83.33,0,0,0,4,0
Mehidy Hasan Miraz,2017-2022,3,3,0,38,14,12.66,31,122.58,0,0,0,1,2
Towhid Hridoy,2024-2024,1,1,0,37,37,37,34,108.82,0,0,0,2,2
Mahedi Hasan,2021-2021,1,1,0,27,27,27,25,108,0,0,0,2,1
Sabbir Rahman,2017-2017,2,2,0,24,19,12,21,114.28,0,0,0,1,2
Najmul Hossain Shanto,2022-2024,2,2,0,23,14,11.5,32,71.87,0,0,0,1,1
Shakib Al Hasan,2017-2024,4,4,0,19,13,4.75,20,95,0,0,0,3,0
Taskin Ahmed,2017-2024,5,5,1,18,10,4.5,27,66.66,0,0,1,2,0
Imrul Kayes,2017-2017,2,2,0,16,10,8,15,106.66,0,0,0,2,0
Mushfiqur Rahim,2017-2021,3,3,0,15,13,5,16,93.75,0,0,1,1,1
Shamim Hossain,2021-2021,1,1,0,11,11,11,20,55,0,0,0,0,0
Mohammad Naim,2021-2021,1,1,0,9,9,9,11,81.81,0,0,0,1,0
Mustafizur Rahman,2022-2024,2,1,1,9,9*,-,3,300,0,0,0,0,1
Tanzid Hasan,2024-2024,1,1,0,9,9,9,9,100,0,0,0,2,0
Jaker Ali,2024-2024,1,1,0,8,8,8,9,88.88,0,0,0,0,0
Rubel Hossain,2017-2017,2,2,2,3,2*,-,5,60,0,0,0,0,0
Nurul Hasan,2022-2022,1,1,0,2,2,2,6,33.33,0,0,0,0,0
Afif Hossain,2021-2022,2,2,0,1,1,0.5,6,16.66,0,0,1,0,0
Shafiul Islam,2017-2017,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Hasan Mahmud,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0
Mosaddek Hossain,2022-2022,1,1,0,0,0,0,3,0,0,0,1,0,0
Nasum Ahmed,2021-2021,1,1,0,0,0,0,1,0,0,0,1,0,0
Rishad Hossain,2024-2024,1,1,1,0,0*,-,1,0,0,0,0,0,0
Shoriful Islam,2021-2021,1,1,1,0,0*,-,0,-,0,0,0,0,0
