Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Mahmudullah,2017-2024,12,11,4,289,54,41.28,194,148.96,0,1,1,18,12
Mushfiqur Rahim,2017-2022,8,8,3,256,72*,51.2,164,156.09,0,3,0,21,9
Soumya Sarkar,2017-2024,10,10,0,197,51,19.7,151,130.46,0,1,2,24,6
Litton Das,2018-2024,7,7,0,138,43,19.71,114,121.05,0,0,2,12,7
Tamim Iqbal,2017-2018,4,4,0,126,50,31.5,96,131.25,0,1,1,12,5
Shakib Al Hasan,2017-2024,6,6,0,98,38,16.33,98,100,0,0,0,9,0
Najmul Hossain Shanto,2024-2024,4,4,1,81,53*,27,79,102.53,0,1,0,7,2
Towhid Hridoy,2024-2024,4,4,1,80,40,26.66,51,156.86,0,0,1,3,6
Mosaddek Hossain,2017-2022,3,3,2,75,34*,75,50,150,0,0,0,8,1
Jaker Ali,2024-2024,3,2,0,72,68,36,47,153.19,0,1,0,4,6
Mohammad Naim,2021-2021,1,1,0,62,62,62,52,119.23,0,1,0,6,0
Rishad Hossain,2024-2024,4,3,0,54,53,18,35,154.28,0,1,1,0,7
Sabbir Rahman,2017-2022,6,6,0,54,19,9,50,108,0,0,1,6,1
Mahedi Hasan,2018-2024,6,4,0,47,19,11.75,44,106.81,0,0,0,5,0
Afif Hossain,2018-2022,3,3,0,46,39,15.33,30,153.33,0,0,1,5,2
Taskin Ahmed,2017-2024,7,4,2,44,31,22,30,146.66,0,0,1,3,3
Mehidy Hasan Miraz,2017-2022,4,4,1,38,38,12.66,29,131.03,0,0,2,2,2
Imrul Kayes,2017-2017,1,1,0,36,36,36,25,144,0,0,0,4,1
Mohammad Saifuddin,2017-2021,5,2,0,26,20,13,26,100,0,0,0,2,1
Mustafizur Rahman,2017-2024,12,3,1,15,8,7.5,14,107.14,0,0,1,1,1
Zakir Hasan,2018-2018,1,1,0,10,10,10,9,111.11,0,0,0,1,0
Mashrafe Mortaza,2017-2017,2,2,1,9,9*,9,6,150,0,0,1,1,0
Shoriful Islam,2024-2024,3,2,1,8,4*,8,4,200,0,0,0,2,0
Mohammad Mithun,2018-2018,1,1,0,5,5,5,3,166.66,0,0,0,1,0
Ariful Haque,2018-2018,2,2,1,3,2,3,4,75,0,0,0,0,0
Tanzid Hasan,2024-2024,1,1,0,3,3,3,6,50,0,0,0,0,0
Abu Jayed,2018-2018,1,1,0,2,2,2,3,66.66,0,0,0,0,0
Nazmul Islam,2018-2018,4,1,1,1,1*,-,1,100,0,0,0,0,0
Tanzim Hasan Sakib,2024-2024,1,1,1,1,1*,-,4,25,0,0,0,0,0
Rubel Hossain,2018-2018,3,1,1,0,0*,-,0,-,0,0,0,0,0
