Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Shakib Al Hasan,2018-2022,10,10,2,317,68*,39.62,222,142.79,0,3,1,37,9
Litton Das,2018-2022,10,10,0,302,61,30.2,224,134.82,0,2,0,29,12
Mahmudullah,2018-2022,10,10,4,218,43*,36.33,170,128.23,0,0,0,23,6
Tamim Iqbal,2018-2018,6,6,0,123,74,20.5,87,141.37,0,1,1,10,6
Afif Hossain,2021-2022,4,4,1,86,50,28.66,69,124.63,0,1,1,5,3
Soumya Sarkar,2018-2021,7,7,0,82,32,11.71,72,113.88,0,0,1,8,3
Ariful Haque,2018-2018,6,5,2,51,18*,17,54,94.44,0,0,1,4,0
Mushfiqur Rahim,2018-2021,7,7,0,46,15,6.57,47,97.87,0,0,0,5,0
Mehidy Hasan Miraz,2018-2018,4,3,0,38,19,12.66,42,90.47,0,0,0,3,1
Nurul Hasan,2022-2022,3,3,1,34,25,17,31,109.67,0,0,0,1,2
Anamul Haque,2022-2022,3,3,0,29,16,9.66,25,116,0,0,0,4,0
Mosaddek Hossain,2022-2022,2,2,1,25,15,25,17,147.05,0,0,0,2,1
Abu Hider,2018-2018,5,2,2,23,22*,-,19,121.05,0,0,0,3,1
Mohammad Naim,2021-2021,1,1,0,17,17,17,19,89.47,0,0,0,2,0
Mustafizur Rahman,2018-2022,10,3,1,10,7,5,14,71.42,0,0,1,0,1
Nasum Ahmed,2022-2022,2,1,1,7,7*,-,4,175,0,0,0,1,0
Nazmul Islam,2018-2018,3,1,0,7,7,7,9,77.77,0,0,0,1,0
Mahedi Hasan,2021-2022,4,2,1,6,5*,6,5,120,0,0,0,1,0
Mohammad Saifuddin,2018-2018,3,2,0,6,5,3,9,66.66,0,0,0,1,0
Munim Shahriar,2022-2022,1,1,0,2,2,2,3,66.66,0,0,0,0,0
Rubel Hossain,2018-2018,3,1,1,2,2*,-,4,50,0,0,0,0,0
Shoriful Islam,2021-2022,4,1,1,0,0*,-,0,-,0,0,0,0,0
Taskin Ahmed,2021-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
