Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Shakib Al Hasan,2018-2024,11,11,42,1,238,12,Feb-15,19.83,5.66,21,0,0
Mohammad Saifuddin,2019-2022,3,3,10,0,83,6,Apr-33,13.83,8.3,10,1,0
Mustafizur Rahman,2019-2024,8,8,27,0,196,6,Feb-30,32.66,7.25,27,0,0
Nasum Ahmed,2022-2023,4,4,14.4,0,74,5,04-Oct,14.8,5.04,17.6,1,0
Taskin Ahmed,2022-2024,4,4,15,1,96,5,Mar-33,19.2,6.4,18,0,0
Shoriful Islam,2022-2023,3,3,9.4,0,84,4,Mar-29,21,8.68,14.5,0,0
Abu Jayed,2018-2018,2,2,7,0,61,3,Feb-27,20.33,8.71,14,0,0
Mahmudullah,2018-2024,9,5,5,0,31,3,02-Jan,10.33,6.2,10,0,0
Mosaddek Hossain,2018-2022,5,5,8.3,0,58,3,Feb-21,19.33,6.82,17,0,0
Rishad Hossain,2024-2024,1,1,4,0,26,3,Mar-26,8.66,6.5,8,0,0
Abul Hasan,2018-2018,1,1,3,0,40,2,Feb-40,20,13.33,9,0,0
Afif Hossain,2019-2023,6,1,3,1,9,2,02-Sep,4.5,3,9,0,0
Nazmul Islam,2018-2018,3,3,12,2,64,2,Feb-18,32,5.33,36,0,0
Rubel Hossain,2018-2018,2,2,7.5,0,70,2,Jan-32,35,8.93,23.5,0,0
Abu Hider,2018-2018,2,2,7,0,45,1,Jan-14,45,6.42,42,0,0
Ariful Haque,2018-2018,1,1,1,0,13,1,Jan-13,13,13,6,0,0
Mahedi Hasan,2022-2022,3,3,11,0,62,1,Jan-19,62,5.63,66,0,0
Mehidy Hasan Miraz,2018-2023,3,2,4,0,40,1,Jan-13,40,10,24,0,0
Shafiul Islam,2019-2019,1,1,4,0,24,1,Jan-24,24,6,24,0,0
Hasan Mahmud,2023-2023,1,1,3,0,20,0,-,-,6.66,-,0,0
Soumya Sarkar,2018-2024,4,2,3,0,39,0,-,-,13,-,0,0
Taijul Islam,2019-2019,1,1,4,0,32,0,-,-,8,-,0,0
Tanzim Hasan Sakib,2024-2024,1,1,4,0,36,0,-,-,9,-,0,0
