Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Nasum Ahmed,2021-2021,5,5,18,1,92,8,Apr-19,11.5,5.11,13.5,1,0
Shoriful Islam,2021-2021,5,5,14,0,92,8,Feb-19,11.5,6.57,10.5,0,0
Mustafizur Rahman,2021-2024,7,7,21,1,115,7,Mar-23,16.42,5.47,18,0,0
Shakib Al Hasan,2021-2024,6,5,19.4,1,127,7,04-Sep,18.14,6.45,16.8,1,0
Mahedi Hasan,2021-2024,7,6,21,0,122,4,Feb-17,30.5,5.8,31.5,0,0
Mohammad Saifuddin,2021-2021,1,1,3,0,12,3,03-Dec,4,4,6,0,0
Rishad Hossain,2024-2024,1,1,3,0,23,2,Feb-23,11.5,7.66,9,0,0
Mahmudullah,2021-2024,7,3,3,0,18,1,01-Sep,18,6,18,0,0
Taskin Ahmed,2021-2024,2,2,4.4,0,58,1,Jan-36,58,12.42,28,0,0
Soumya Sarkar,2021-2021,6,2,2,0,16,0,-,-,8,-,0,0
Tanzim Hasan Sakib,2024-2024,1,1,1,0,9,0,-,-,9,-,0,0
