Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Mustafizur Rahman,2020-2022,6,6,21.1,0,176,4,01-Dec,44,8.31,31.7,0,0
Taskin Ahmed,2021-2022,6,6,22.1,0,152,4,Feb-25,38,6.85,33.2,0,0
Aminul Islam,2020-2021,5,5,14.2,0,106,3,Jan-26,35.33,7.39,28.6,0,0
Hasan Mahmud,2022-2022,2,2,8,0,69,3,Feb-27,23,8.62,16,0,0
Mahmudullah,2020-2021,5,3,4.4,0,32,3,03-Oct,10.66,6.85,9.3,0,0
Shafiul Islam,2020-2020,2,2,7,0,54,3,Feb-27,18,7.71,14,0,0
Nasum Ahmed,2021-2022,3,3,12,0,56,2,Jan-14,28,4.66,36,0,0
Al-Amin Hossain,2020-2020,2,2,7,0,35,1,Jan-18,35,5,42,0,0
Ebadot Hossain,2022-2022,1,1,3.1,0,25,1,Jan-25,25,7.89,19,0,0
Mahedi Hasan,2020-2021,4,4,16,0,87,1,Jan-17,87,5.43,96,0,0
Mehidy Hasan Miraz,2022-2022,1,1,2,0,12,1,01-Dec,12,6,12,0,0
Rakibul Hasan,2023-2023,1,1,2,0,12,1,01-Dec,12,6,12,0,0
Shohidul Islam,2021-2021,1,1,3.5,0,33,1,Jan-33,33,8.6,23,0,0
Shakib Al Hasan,2022-2022,2,2,7,0,63,1,Jan-35,63,9,42,0,0
Shoriful Islam,2021-2022,3,3,9.5,0,71,1,Jan-31,71,7.22,59,0,0
Soumya Sarkar,2020-2022,4,2,3.3,0,28,1,01-Jun,28,8,21,0,0
Afif Hossain,2020-2023,9,4,4,0,43,0,-,-,10.75,-,0,0
Mohammad Saifuddin,2022-2022,1,1,3.5,0,53,0,-,-,13.82,-,0,0
R Mondol,2023-2023,1,1,2,0,20,0,-,-,10,-,0,0
Mosaddek Hossain,2022-2022,2,1,2,0,17,0,-,-,8.5,-,0,0
Najmul Hossain Shanto,2021-2022,5,1,1,0,3,0,-,-,3,-,0,0
Saif Hassan,2021-2023,3,1,0.1,0,1,0,-,-,6,-,0,0
