Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Shakib Al Hasan,2017-2024,4,4,11,0,89,5,Feb-22,17.8,8.09,13.2,0,0
Taskin Ahmed,2017-2024,5,5,16,0,145,5,Feb-18,29,9.06,19.2,0,0
Tanzim Hasan Sakib,2024-2024,1,1,4,0,18,3,Mar-18,6,4.5,8,0,0
Mehidy Hasan Miraz,2017-2022,3,3,11,0,109,2,Feb-31,54.5,9.9,33,0,0
Mohammad Saifuddin,2017-2017,2,2,6,0,73,2,Feb-53,36.5,12.16,18,0,0
Afif Hossain,2021-2022,2,1,1,0,11,1,01-Nov,11,11,6,0,0
Hasan Mahmud,2022-2022,1,1,4,0,36,1,Jan-36,36,9,24,0,0
Mahedi Hasan,2021-2021,1,1,2.3,0,19,1,Jan-19,19,7.6,15,0,0
Nasum Ahmed,2021-2021,1,1,2,0,22,1,Jan-22,22,11,12,0,0
Rishad Hossain,2024-2024,1,1,4,0,32,1,Jan-32,32,8,24,0,0
Rubel Hossain,2017-2017,2,2,8,0,85,1,Jan-34,85,10.62,48,0,0
Mahmudullah,2017-2024,4,3,7,0,50,0,-,-,7.14,-,0,0
Mosaddek Hossain,2022-2022,1,1,2,0,16,0,-,-,8,-,0,0
Mustafizur Rahman,2022-2024,2,2,8,0,43,0,-,-,5.37,-,0,0
Shafiul Islam,2017-2017,1,1,2,0,33,0,-,-,16.5,-,0,0
Shoriful Islam,2021-2021,1,1,4,0,15,0,-,-,3.75,-,0,0
Soumya Sarkar,2017-2022,4,1,1,0,7,0,-,-,7,-,0,0
