Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Mustafizur Rahman,2017-2024,12,12,44,1,405,16,Apr-21,25.31,9.2,16.5,1,0
Taskin Ahmed,2017-2024,7,7,25.5,0,225,10,Feb-24,22.5,8.7,15.5,0,0
Rishad Hossain,2024-2024,4,4,15,0,110,6,Mar-22,18.33,7.33,15,0,0
Shakib Al Hasan,2017-2024,6,6,19,0,140,6,Mar-24,23.33,7.36,19,0,0
Ebadot Hossain,2022-2022,1,1,4,0,51,3,Mar-51,17,12.75,8,0,0
Mahmudullah,2017-2024,12,7,15,0,113,3,Feb-15,37.66,7.53,30,0,0
Mashrafe Mortaza,2017-2017,2,2,8,0,62,3,Feb-32,20.66,7.75,16,0,0
Mohammad Saifuddin,2017-2021,5,5,15,0,164,3,Jan-24,54.66,10.93,30,0,0
Soumya Sarkar,2017-2024,10,6,8,0,81,3,01-May,27,10.12,16,0,0
Mahedi Hasan,2018-2024,6,6,18.2,0,176,2,Jan-30,88,9.6,55,0,0
Nasum Ahmed,2021-2021,1,1,2.5,0,29,2,Feb-29,14.5,10.23,8.5,0,0
Nazmul Islam,2018-2018,4,3,10,0,73,2,Feb-25,36.5,7.3,30,0,0
Rubel Hossain,2018-2018,3,3,11.4,0,138,2,Jan-41,69,11.82,35,0,0
Shoriful Islam,2024-2024,3,3,12,1,95,2,Jan-28,47.5,7.91,36,0,0
Abu Jayed,2018-2018,1,1,4,0,45,1,Jan-45,45,11.25,24,0,0
Afif Hossain,2018-2022,3,2,3,0,41,1,Jan-26,41,13.66,18,0,0
Mehidy Hasan Miraz,2017-2022,4,4,11,0,73,1,Jan-16,73,6.63,66,0,0
Tanzim Hasan Sakib,2024-2024,1,1,4,0,24,1,Jan-24,24,6,24,0,0
Mosaddek Hossain,2017-2022,3,1,1,0,7,0,-,-,7,-,0,0
