Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Mustafizur Rahman,2018-2022,10,9,28.1,1,304,15,Mar-31,20.26,10.79,11.2,0,0
Shakib Al Hasan,2018-2022,10,9,32,0,233,13,May-20,17.92,7.28,14.7,0,1
Mahmudullah,2018-2022,10,4,6,0,39,5,Mar-18,7.8,6.5,7.2,0,0
Mahedi Hasan,2021-2022,4,3,12,0,79,4,Feb-27,19.75,6.58,18,0,0
Shoriful Islam,2021-2022,4,3,9,0,73,4,Feb-20,18.25,8.11,13.5,0,0
Nazmul Islam,2018-2018,3,3,6.3,0,54,3,Mar-28,18,8.3,13,0,0
Rubel Hossain,2018-2018,3,3,10,0,76,3,Jan-13,25.33,7.6,20,0,0
Abu Hider,2018-2018,5,5,14,0,140,2,Jan-27,70,10,42,0,0
Nasum Ahmed,2022-2022,2,1,4,0,44,2,Feb-44,22,11,12,0,0
Afif Hossain,2021-2022,4,1,1,0,10,1,01-Oct,10,10,6,0,0
Mehidy Hasan Miraz,2018-2018,4,4,8,0,95,1,Jan-23,95,11.87,48,0,0
Mohammad Saifuddin,2018-2018,3,3,9,0,91,1,Jan-13,91,10.11,54,0,0
Mosaddek Hossain,2022-2022,2,2,5,1,34,1,1/0,34,6.8,30,0,0
Soumya Sarkar,2018-2021,7,1,2.3,0,18,1,Jan-18,18,7.2,15,0,0
Taskin Ahmed,2021-2022,2,2,7,0,63,0,-,-,9,-,0,0
