Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
JC Buttler,2017-2024,16,15,2,429,83*,33,287,149.47,0,4,3,43,17
JJ Roy,2017-2022,14,14,0,348,67,24.85,260,133.84,0,1,2,32,20
DJ Malan,2021-2022,8,8,1,265,77,37.85,201,131.84,0,2,0,27,10
AD Hales,2018-2022,4,4,2,182,86*,91,130,140,0,2,0,11,12
JM Bairstow,2018-2024,9,9,2,171,40*,24.42,122,140.16,0,0,2,12,8
EJG Morgan,2017-2021,11,9,0,171,51,19,146,117.12,0,1,0,10,7
BA Stokes,2017-2022,10,7,1,144,46,24,105,137.14,0,0,0,12,5
JE Root,2017-2018,5,5,1,135,46*,33.75,132,102.27,0,0,1,10,2
MM Ali,2017-2024,9,7,1,88,36,14.66,65,135.38,0,0,1,8,4
HC Brook,2022-2024,5,4,0,80,28,20,60,133.33,0,0,0,10,1
LS Livingstone,2022-2024,5,4,1,68,42*,22.66,57,119.29,0,0,1,3,4
DJ Willey,2018-2022,5,4,3,66,33*,66,45,146.66,0,0,0,5,4
CJ Jordan,2017-2024,16,11,3,65,26*,8.12,52,125,0,0,2,4,3
JC Archer,2021-2024,6,3,1,40,21,20,25,160,0,0,0,3,3
SW Billings,2017-2017,3,3,0,34,22,11.33,20,170,0,0,1,3,2
SM Curran,2021-2024,9,6,2,31,14*,7.75,25,124,0,0,0,1,2
PD Salt,2022-2024,3,2,0,13,8,6.5,14,92.85,0,0,0,1,0
LE Plunkett,2017-2018,5,3,1,12,9,6,9,133.33,0,0,1,0,1
RJW Topley,2022-2024,3,2,1,12,9,12,11,109.09,0,0,0,1,0
TS Mills,2017-2022,4,2,0,7,7,3.5,10,70,0,0,1,0,1
AU Rashid,2017-2024,13,5,4,6,4*,6,5,120,0,0,0,1,0
RJ Gleeson,2022-2022,2,1,0,2,2,2,3,66.66,0,0,0,0,0
MW Parkinson,2022-2022,2,2,0,0,0,0,5,0,0,0,2,0,0
