Player,Span,Mat,Inns,Not out,Runs,Highest Score,Avg,Balls faced,Strike Rate,100s,50s,0's,4's,6's
JC Buttler,2018-2024,10,10,3,496,77*,70.85,315,157.46,0,5,0,50,21
DJ Malan,2018-2022,9,9,1,304,82,38,217,140.09,0,3,0,33,9
AD Hales,2018-2022,6,6,0,162,84,27,102,158.82,0,1,1,22,5
MM Ali,2018-2024,9,7,2,117,44,23.4,82,142.68,0,0,0,7,8
JM Bairstow,2018-2024,6,6,2,109,55,27.25,94,115.95,0,1,0,6,7
JJ Roy,2018-2021,4,4,0,83,44,20.75,60,138.33,0,0,0,9,1
EJG Morgan,2018-2021,5,4,0,49,22,12.25,31,158.06,0,0,0,5,2
SW Billings,2018-2020,3,3,0,43,29,14.33,36,119.44,0,0,0,5,1
CJ Jordan,2018-2024,9,6,5,43,16*,43,32,134.37,0,0,0,1,2
PD Salt,2024-2024,1,1,0,37,37,37,23,160.86,0,0,0,4,2
JE Root,2018-2018,1,1,0,35,35,35,24,145.83,0,0,0,4,0
HC Brook,2022-2024,4,3,1,33,20*,16.5,28,117.85,0,0,0,4,0
BA Stokes,2022-2022,3,3,1,33,17*,16.5,30,110,0,0,0,1,1
JL Denly,2020-2020,1,1,1,29,29*,-,19,152.63,0,0,0,4,0
JM Vince,2018-2018,1,1,0,21,21,21,21,100,0,0,0,2,0
LS Livingstone,2021-2024,2,1,0,15,15,15,12,125,0,0,0,0,1
TK Curran,2018-2020,5,3,1,14,6,7,15,93.33,0,0,0,0,1
DJ Willey,2018-2022,5,3,1,13,10,6.5,14,92.85,0,0,0,2,0
CR Woakes,2021-2022,3,1,1,13,13*,-,5,260,0,0,0,1,1
T Banton,2020-2020,3,3,0,12,8,4,20,60,0,0,0,1,0
SM Curran,2022-2022,2,2,0,10,8,5,11,90.9,0,0,0,0,1
WG Jacks,2024-2024,1,1,0,10,10,10,10,100,0,0,0,1,0
MA Wood,2018-2024,7,1,1,5,5*,-,9,55.55,0,0,0,0,0
AU Rashid,2018-2024,11,2,1,2,1*,2,8,25,0,0,0,0,0
