Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
DJ Malan,2018-2023,12,12,2,446,103*,44.6,312,142.94,1,4,1,42,19
JM Bairstow,2019-2023,9,9,1,278,86*,34.75,192,144.79,0,2,1,25,16
EJG Morgan,2018-2021,7,7,3,276,91,69,147,187.75,0,2,0,19,21
JC Buttler,2018-2023,7,6,1,159,73,31.8,109,145.87,0,1,0,14,6
HC Brook,2022-2023,5,5,1,129,67,32.25,82,157.31,0,1,0,8,9
JM Vince,2018-2019,5,5,0,120,59,24,90,133.33,0,1,0,11,4
AD Hales,2018-2022,3,3,0,100,52,33.33,68,147.05,0,1,0,13,4
MM Ali,2021-2023,6,5,1,89,51*,22.25,64,139.06,0,1,0,4,5
LS Livingstone,2021-2023,6,5,1,75,26,18.75,54,138.88,0,0,0,2,5
WG Jacks,2023-2023,4,4,0,68,22,17,46,147.82,0,0,0,9,2
CJ Jordan,2018-2023,8,5,2,62,36,20.66,32,193.75,0,0,0,5,5
T Banton,2019-2019,3,3,0,56,31,18.66,34,164.7,0,0,0,6,3
SW Billings,2018-2021,8,7,3,52,14*,13,53,98.11,0,0,0,4,0
SM Curran,2019-2023,9,5,1,46,24,11.5,30,153.33,0,0,0,4,3
DJ Willey,2018-2018,2,2,0,31,21,15.5,15,206.66,0,0,0,2,2
JJ Roy,2018-2018,2,2,0,29,21,14.5,21,138.09,0,0,0,5,1
TK Curran,2018-2019,5,2,1,26,14*,26,19,136.84,0,0,0,0,2
L Gregory,2019-2019,5,3,0,21,15,7,19,110.52,0,0,1,0,2
AU Rashid,2018-2023,11,3,1,20,8*,10,20,100,0,0,0,1,0
Rehan Ahmed,2023-2023,1,1,0,11,11,11,7,157.14,0,0,0,0,1
LA Dawson,2018-2018,1,1,0,10,10,10,3,333.33,0,0,0,1,1
AAP Atkinson,2023-2023,2,1,1,8,8*,-,10,80,0,0,0,0,0
BA Stokes,2022-2022,1,1,0,8,8,8,7,114.28,0,0,0,0,0
S Mahmood,2019-2019,3,2,1,7,4,7,7,100,0,0,0,1,0
MA Wood,2018-2022,3,1,1,5,5*,-,3,166.66,0,0,0,1,0
PR Brown,2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
L Wood,2023-2023,3,1,0,3,3,3,4,75,0,0,0,0,0
BA Carse,2023-2023,3,1,1,0,0*,-,1,0,0,0,0,0,0
LE Plunkett,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0
