Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
DJ Malan,2020-2022,12,12,2,291,78*,29.1,242,120.24,0,2,1,34,5
HC Brook,2022-2024,10,9,4,276,81*,55.2,185,149.18,0,1,0,21,14
MM Ali,2020-2024,16,12,3,273,61,30.33,174,156.89,0,3,0,24,14
BM Duckett,2019-2022,8,8,2,242,70*,40.33,153,158.16,0,1,0,32,2
PD Salt,2022-2024,10,10,1,235,88*,26.11,148,158.78,0,1,0,32,6
JC Buttler,2021-2024,5,5,0,229,84,45.8,150,152.66,0,2,0,28,7
EJG Morgan,2019-2021,6,6,1,184,66,36.8,104,176.92,0,2,0,13,12
LS Livingstone,2021-2024,6,5,2,150,103,50,72,208.33,1,0,0,8,13
T Banton,2020-2020,3,3,0,137,71,45.66,89,153.93,0,1,0,12,6
AD Hales,2022-2022,7,7,0,131,53,18.71,94,139.36,0,1,0,18,2
JM Bairstow,2020-2024,8,8,1,124,44,17.71,87,142.52,0,0,1,9,8
JJ Roy,2021-2021,3,3,0,106,64,35.33,53,200,0,1,0,15,5
WG Jacks,2022-2024,4,4,0,97,40,24.25,66,146.96,0,0,1,13,3
BA Stokes,2022-2022,1,1,1,52,52*,-,49,106.12,0,1,0,5,1
JE Root,2019-2019,1,1,0,47,47,47,42,111.9,0,0,0,5,0
SW Billings,2020-2020,3,3,1,39,26,19.5,34,114.7,0,0,0,4,1
JM Vince,2019-2019,1,1,0,36,36,36,27,133.33,0,0,0,3,1
LA Dawson,2022-2022,3,1,0,34,34,34,17,200,0,0,0,5,1
SM Curran,2022-2022,7,2,1,27,17,27,19,142.1,0,0,0,2,0
DJ Willey,2019-2022,9,4,2,27,16,13.5,22,122.72,0,0,0,4,1
L Gregory,2020-2021,4,4,1,24,12,8,22,109.09,0,0,0,2,0
CJ Jordan,2019-2024,9,5,2,24,14,8,18,133.33,0,0,0,1,1
JL Denly,2019-2019,1,1,1,20,20*,-,12,166.66,0,0,0,2,1
TK Curran,2019-2021,6,3,1,18,9,9,14,128.57,0,0,0,1,1
JC Archer,2019-2024,3,1,1,12,12*,-,4,300,0,0,0,1,1
CR Woakes,2022-2022,3,1,0,10,10,10,12,83.33,0,0,0,1,0
AU Rashid,2019-2024,16,3,2,8,3*,8,10,80,0,0,0,0,0
MW Parkinson,2021-2021,2,2,0,5,5,2.5,6,83.33,0,0,1,1,0
S Mahmood,2020-2021,6,2,2,3,3*,-,5,60,0,0,0,0,0
OP Stone,2022-2022,1,1,0,0,0,0,1,0,0,0,1,0,0
RJW Topley,2022-2024,5,1,0,0,0,0,3,0,0,0,1,0,0
