Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
JM Bairstow,2017-2024,13,12,2,482,90,48.2,324,148.76,0,4,0,45,21
DJ Malan,2017-2022,9,9,1,350,99*,43.75,227,154.18,0,3,0,39,13
JC Buttler,2017-2024,14,13,1,319,67*,26.58,206,154.85,0,2,0,31,15
JJ Roy,2017-2022,13,13,1,315,70,26.25,243,129.62,0,2,1,33,10
EJG Morgan,2017-2021,9,7,2,197,57*,39.4,123,160.16,0,2,0,16,11
MM Ali,2020-2024,8,8,1,178,52,25.42,95,187.36,0,1,0,12,12
BA Stokes,2020-2020,6,5,1,126,47*,31.5,89,141.57,0,0,0,7,8
LS Livingstone,2017-2024,7,7,0,103,33,14.71,74,139.18,0,0,1,9,5
AD Hales,2017-2017,2,2,1,83,47*,83,66,125.75,0,0,0,5,4
HC Brook,2024-2024,1,1,0,53,53,53,37,143.24,0,1,0,7,0
SM Curran,2020-2024,7,6,3,30,10*,10,27,111.11,0,0,0,1,2
CJ Jordan,2017-2022,13,8,4,29,14,7.25,21,138.09,0,0,1,3,1
SW Billings,2017-2017,3,2,0,15,12,7.5,15,100,0,0,0,0,1
PD Salt,2024-2024,1,1,0,11,11,11,8,137.5,0,0,0,1,1
LA Dawson,2017-2017,2,1,1,7,7*,-,5,140,0,0,0,1,0
CR Woakes,2021-2021,1,1,0,7,7,7,3,233.33,0,0,0,0,1
AU Rashid,2020-2024,11,4,1,6,3,2,8,75,0,0,1,0,0
JL Denly,2020-2020,2,2,0,4,3,2,6,66.66,0,0,0,0,0
TK Curran,2017-2020,8,3,2,3,2,3,4,75,0,0,0,0,0
JC Archer,2020-2024,4,1,1,1,1*,-,2,50,0,0,0,0,0
RJW Topley,2022-2024,4,2,2,1,1*,-,1,100,0,0,0,0,0
DJ Willey,2017-2022,4,2,0,1,1,0.5,3,33.33,0,0,1,0,0
MA Wood,2017-2024,6,1,1,1,1*,-,1,100,0,0,0,0,0
RJ Gleeson,2022-2022,2,1,0,0,0,0,1,0,0,0,1,0,0
LE Plunkett,2017-2017,2,2,1,0,0*,0,2,0,0,0,1,0,0
