Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
JC Buttler,2018-2022,4,4,2,210,101*,105,152,138.15,1,1,0,19,8
JJ Roy,2018-2021,4,4,0,131,69,32.75,81,161.72,0,1,0,11,7
DJ Malan,2021-2022,5,4,0,93,76,23.25,75,124,0,1,0,7,4
BA Stokes,2018-2022,2,2,1,68,42*,68,63,107.93,0,0,0,3,1
JM Bairstow,2021-2021,4,4,1,64,51,21.33,59,108.47,0,1,2,6,2
EJG Morgan,2018-2021,5,4,0,63,40,15.75,57,110.52,0,0,0,5,3
AD Hales,2018-2022,2,2,0,51,47,25.5,33,154.54,0,0,0,8,1
LS Livingstone,2021-2022,5,3,1,47,29*,23.5,42,111.9,0,0,0,2,1
MM Ali,2018-2022,4,4,1,36,27,12,25,144,0,0,0,2,3
SM Curran,2021-2022,4,3,2,31,16*,31,24,129.16,0,0,0,2,1
SW Billings,2021-2021,2,2,0,26,24,13,32,81.25,0,0,0,2,0
JL Denly,2018-2018,1,1,0,20,20,20,17,117.64,0,0,0,3,0
CJ Jordan,2018-2021,5,2,2,10,8*,-,3,333.33,0,0,0,2,0
LE Plunkett,2018-2018,1,1,1,7,7*,-,5,140,0,0,0,1,0
AU Rashid,2018-2022,6,1,0,5,5,5,3,166.66,0,0,0,1,0
CR Woakes,2021-2022,4,1,1,5,5*,-,3,166.66,0,0,0,1,0
HC Brook,2022-2022,1,1,0,4,4,4,5,80,0,0,0,0,0
