Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
PD Salt,2022-2024,9,9,2,478,119,68.28,256,186.71,2,2,1,34,32
JC Buttler,2017-2024,8,8,1,240,55,34.28,183,131.14,0,2,0,26,6
JM Bairstow,2017-2024,6,6,1,201,68,40.2,132,152.27,0,1,0,23,7
LS Livingstone,2021-2024,10,9,1,190,54*,23.75,126,150.79,0,1,0,8,14
MM Ali,2021-2024,11,9,1,169,63,21.12,122,138.52,0,1,2,8,11
SW Billings,2019-2022,7,6,1,166,87,33.2,106,156.6,0,1,0,13,7
JJ Roy,2017-2022,7,7,0,141,52,20.14,111,127.02,0,1,1,13,9
JM Vince,2022-2022,5,5,0,123,55,24.6,86,143.02,0,1,0,13,5
T Banton,2022-2022,5,5,0,122,73,24.4,78,156.41,0,1,0,10,8
AD Hales,2017-2019,4,4,0,82,43,20.5,42,195.23,0,0,0,12,4
JE Root,2017-2019,4,4,1,76,55,25.33,72,105.55,0,1,1,9,0
SM Curran,2023-2024,6,3,0,75,50,25,61,122.95,0,1,0,5,3
WG Jacks,2023-2023,5,5,0,73,24,14.6,50,146,0,0,0,6,5
CJ Jordan,2017-2022,9,5,1,68,28,17,55,123.63,0,0,0,3,4
HC Brook,2022-2024,7,6,2,60,31*,15,40,150,0,0,0,2,4
EJG Morgan,2017-2022,7,7,2,58,17,11.6,82,70.73,0,0,0,5,2
JL Denly,2019-2019,3,2,0,32,30,16,35,91.42,0,0,0,4,0
AU Rashid,2017-2024,16,7,1,27,22,4.5,28,96.42,0,0,2,3,0
LE Plunkett,2017-2019,3,1,0,18,18,18,11,163.63,0,0,0,2,0
DJ Willey,2017-2019,4,3,2,15,13*,15,15,100,0,0,0,0,1
BM Duckett,2023-2023,1,1,0,14,14,14,12,116.66,0,0,0,1,0
S Mahmood,2022-2022,3,3,1,12,7*,6,16,75,0,0,1,1,0
Rehan Ahmed,2023-2023,4,3,1,11,10*,5.5,7,157.14,0,0,1,1,1
CR Woakes,2021-2023,5,3,1,7,3*,3.5,17,41.17,0,0,0,0,0
LA Dawson,2022-2022,2,2,0,6,4,3,11,54.54,0,0,0,1,0
TK Curran,2017-2019,4,2,2,3,2*,-,4,75,0,0,0,0,0
GHS Garton,2022-2022,1,1,0,2,2,2,4,50,0,0,0,0,0
RJW Topley,2022-2024,8,3,3,2,2*,-,2,100,0,0,0,0,0
TS Mills,2021-2023,7,3,2,1,1*,1,2,50,0,0,1,0,0
