Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
CJ Jordan,2017-2024,16,16,61.3,1,571,24,Apr-27,23.79,9.28,15.3,1,0
AU Rashid,2017-2024,13,12,44,1,326,9,Jan-14,36.22,7.4,29.3,0,0
JC Archer,2021-2024,6,6,24,1,188,8,Apr-33,23.5,7.83,18,1,0
MM Ali,2017-2024,9,7,20.2,0,188,6,Feb-21,31.33,9.24,20.3,0,0
BA Stokes,2017-2022,10,10,27,0,225,5,Jan-25,45,8.33,32.4,0,0
RJW Topley,2022-2024,3,3,11,0,81,5,Mar-22,16.2,7.36,13.2,0,0
DJ Willey,2018-2022,5,5,18,0,160,5,Feb-40,32,8.88,21.6,0,0
MA Wood,2021-2021,4,4,16,1,129,5,Mar-31,25.8,8.06,19.2,0,0
RJ Gleeson,2022-2022,2,2,8,1,46,4,Mar-15,11.5,5.75,12,0,0
TS Mills,2017-2022,4,4,15,0,129,4,Jan-27,32.25,8.6,22.5,0,0
SM Curran,2021-2024,9,9,21,1,189,3,Jan-16,63,9,42,0,0
LE Plunkett,2017-2018,5,5,17,0,155,3,Jan-17,51.66,9.11,34,0,0
JT Ball,2018-2018,2,2,7,0,83,2,Jan-39,41.5,11.85,21,0,0
MW Parkinson,2022-2022,2,2,6,0,65,1,Jan-44,65,10.83,36,0,0
CR Woakes,2022-2022,1,1,3,0,24,1,Jan-24,24,8,18,0,0
TK Curran,2021-2021,1,1,2,0,26,0,-,-,13,-,0,0
LA Dawson,2017-2017,1,1,2,0,20,0,-,-,10,-,0,0
