Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
AU Rashid,2019-2024,16,15,57,1,467,18,Apr-35,25.94,8.19,19,1,0
SM Curran,2022-2022,7,7,27,0,184,10,03-Dec,18.4,6.81,16.2,0,0
MM Ali,2020-2024,16,10,22,0,199,8,Feb-26,24.87,9.04,16.5,0,0
CJ Jordan,2019-2024,9,8,28,0,235,8,Feb-27,29.37,8.39,21,0,0
RJW Topley,2022-2024,5,5,19.2,0,165,8,Mar-41,20.62,8.53,14.5,0,0
DJ Willey,2019-2022,9,9,31.3,0,267,8,Feb-22,33.37,8.47,23.6,0,0
MA Wood,2022-2024,3,3,12,0,79,8,Mar-20,9.87,6.58,9,0,0
TK Curran,2019-2021,6,5,20,0,175,6,Feb-47,29.16,8.75,20,0,0
JC Archer,2019-2024,3,3,11.5,0,88,5,Feb-28,17.6,7.43,14.2,0,0
S Mahmood,2020-2021,6,5,19,0,187,4,Mar-33,46.75,9.84,28.5,0,0
CR Woakes,2022-2022,3,3,11,0,82,4,Mar-26,20.5,7.45,16.5,0,0
LS Livingstone,2021-2024,6,5,10,1,87,3,Feb-17,29,8.7,20,0,0
L Wood,2022-2022,2,2,8,0,73,3,Mar-24,24.33,9.12,16,0,0
LA Dawson,2022-2022,3,3,9,0,65,1,Jan-32,65,7.22,54,0,0
RJ Gleeson,2022-2022,2,2,6,0,52,1,Jan-39,52,8.66,36,0,0
L Gregory,2020-2021,4,3,9,0,88,1,Jan-25,88,9.77,54,0,0
MW Parkinson,2021-2021,2,2,8,0,72,1,Jan-25,72,9,48,0,0
BA Stokes,2022-2022,1,1,4,0,32,1,Jan-32,32,8,24,0,0
JL Denly,2019-2019,1,1,1,0,15,0,-,-,15,-,0,0
OP Stone,2022-2022,1,1,4,0,36,0,-,-,9,-,0,0
