Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
CJ Jordan,2017-2022,13,13,51,0,480,13,Mar-31,36.92,9.41,23.5,0,0
TK Curran,2017-2020,8,8,29,0,290,12,Mar-33,24.16,10,14.5,0,0
AU Rashid,2020-2024,11,11,40,0,309,8,Feb-17,38.62,7.72,30,0,0
MM Ali,2020-2024,8,8,20,0,169,6,01-Apr,28.16,8.45,20,0,0
BA Stokes,2020-2020,6,5,14,0,115,6,Feb-26,19.16,8.21,14,0,0
MA Wood,2017-2024,6,6,20,0,223,6,Feb-36,37.16,11.15,20,0,0
JC Archer,2020-2024,4,4,16,0,130,5,Mar-40,26,8.12,19.2,0,0
DJ Willey,2017-2022,4,4,16,1,128,5,Mar-25,25.6,8,19.2,0,0
RJ Gleeson,2022-2022,2,2,7,0,89,4,Mar-51,22.25,12.71,10.5,0,0
SM Curran,2020-2024,7,7,23,0,219,3,Mar-28,73,9.52,46,0,0
LE Plunkett,2017-2017,2,2,8,0,58,3,Feb-36,19.33,7.25,16,0,0
RJW Topley,2022-2024,4,4,16,0,127,2,Feb-29,63.5,7.93,48,0,0
MS Crane,2017-2017,2,2,8,0,62,1,Jan-38,62,7.75,48,0,0
LA Dawson,2017-2017,2,2,8,0,55,1,Jan-38,55,6.87,48,0,0
CR Woakes,2021-2021,1,1,4,0,43,0,-,-,10.75,-,0,0
