Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
V Kohli,2017-2024,14,13,3,393,85,39.3,280,140.35,0,4,2,24,17
SA Yadav,2022-2024,9,9,0,290,80,32.22,168,172.61,0,2,1,24,19
KL Rahul,2018-2022,11,10,0,271,55,27.1,203,133.49,0,3,1,21,12
HH Pandya,2017-2024,9,8,4,235,71*,58.75,145,162.06,0,1,0,15,14
S Dhawan,2017-2020,9,8,1,229,76,32.71,169,135.5,0,2,0,27,6
RD Gaikwad,2023-2023,5,5,1,223,123*,55.75,140,159.28,1,1,1,21,10
RG Sharma,2017-2024,10,9,1,220,92,27.5,127,173.22,0,1,0,18,17
YBK Jaiswal,2023-2023,5,5,0,138,53,27.6,82,168.29,0,1,0,19,7
Ishan Kishan,2023-2023,3,3,0,110,58,36.66,76,144.73,0,2,1,5,9
RK Singh,2023-2023,5,4,2,105,46,52.5,60,175,0,0,0,13,4
MS Dhoni,2017-2019,4,3,1,82,40,41,76,107.89,0,0,0,4,4
KD Karthik,2018-2022,8,7,4,78,30,26,45,173.33,0,0,0,8,3
SS Iyer,2020-2023,4,4,1,73,53,24.33,50,146,0,1,1,6,3
JM Sharma,2023-2023,2,2,0,59,35,29.5,35,168.57,0,0,0,4,4
RA Jadeja,2020-2024,2,2,2,53,44*,-,28,189.28,0,0,0,5,2
NT Tilak Varma,2023-2023,3,3,2,50,31*,50,36,138.88,0,0,0,6,1
SV Samson,2020-2020,3,3,0,48,23,16,34,141.17,0,0,0,2,2
RR Pant,2018-2024,7,5,0,39,20,7.8,42,92.85,0,0,1,2,2
AR Patel,2022-2024,9,4,0,39,31,9.75,33,118.18,0,0,1,3,1
S Dube,2024-2024,1,1,0,28,28,28,22,127.27,0,0,0,2,1
KM Jadhav,2017-2017,2,1,0,27,27,27,27,100,0,0,0,3,1
Kuldeep Yadav,2017-2024,6,2,1,20,16,20,20,100,0,0,0,2,0
SN Thakur,2020-2020,2,1,1,17,17*,-,7,242.85,0,0,0,0,2
Washington Sundar,2020-2020,3,2,0,14,7,7,11,127.27,0,0,0,2,0
MK Pandey,2017-2020,3,2,0,8,6,4,15,53.33,0,0,0,1,0
JJ Bumrah,2017-2024,10,1,0,7,7,7,9,77.77,0,0,0,1,0
HV Patel,2022-2022,3,1,1,7,7*,-,4,175,0,0,0,1,0
Ravi Bishnoi,2023-2023,5,3,0,6,4,2,6,100,0,0,1,0,0
YS Chahal,2017-2022,10,2,2,3,3*,-,6,50,0,0,0,0,0
KH Pandya,2018-2019,5,2,0,3,2,1.5,10,30,0,0,0,0,0
Arshdeep Singh,2023-2024,5,2,1,2,2*,2,2,100,0,0,1,0,0
B Kumar,2017-2022,7,2,1,2,1*,2,7,28.57,0,0,0,0,0
UT Yadav,2019-2022,2,1,0,2,2,2,4,50,0,0,0,0,0
Avesh Khan,2023-2023,3,1,1,1,1*,-,1,100,0,0,0,0,0
DL Chahar,2020-2023,4,3,2,0,0*,0,2,0,0,0,1,0,0
Mukesh Kumar,2023-2023,4,1,1,0,0*,-,0,-,0,0,0,0,0
