Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike rate,100s,50s,0's,4's,6's
V Kohli,2021-2024,5,5,1,238,82*,59.5,183,130.05,0,3,0,19,7
RR Pant,2021-2024,3,3,0,95,42,31.66,73,130.13,0,0,0,10,2
HH Pandya,2021-2024,5,5,1,91,40,22.75,76,119.73,0,0,1,8,3
SA Yadav,2021-2024,5,5,0,64,18,12.8,54,118.51,0,0,0,7,1
RG Sharma,2021-2024,5,5,0,57,28,11.4,54,105.55,0,0,1,4,4
RA Jadeja,2021-2024,3,3,0,48,35,16,43,111.62,0,0,1,3,2
KL Rahul,2021-2022,4,4,0,35,28,8.75,37,94.59,0,0,1,1,2
AR Patel,2022-2024,2,2,0,22,20,11,21,104.76,0,0,0,2,1
DJ Hooda,2022-2022,1,1,0,16,16,16,14,114.28,0,0,0,2,0
Arshdeep Singh,2022-2024,4,1,0,9,9,9,13,69.23,0,0,0,1,0
Ravi Bishnoi,2022-2022,1,1,1,8,8*,-,2,400,0,0,0,2,0
Mohammed Siraj,2024-2024,1,1,1,7,7*,-,7,100,0,0,0,0,0
B Kumar,2021-2022,4,2,2,5,5*,-,4,125,0,0,0,0,0
S Dube,2024-2024,1,1,0,3,3,3,9,33.33,0,0,0,0,0
KD Karthik,2022-2022,2,2,1,2,1*,2,3,66.66,0,0,0,0,0
R Ashwin,2022-2022,1,1,1,1,1*,-,1,100,0,0,0,0,0
JJ Bumrah,2021-2024,2,1,0,0,0,0,1,0,0,0,1,0,0
Mohammed Shami,2021-2022,2,1,1,0,0*,-,0,-,0,0,0,0,0
