Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike rate,100s,50s,0's,4's,6's
RG Sharma,2021-2024,5,5,1,203,121*,50.75,132,153.78,1,1,2,20,11
V Kohli,2021-2024,5,4,1,175,122*,58.33,102,171.56,1,0,1,17,7
S Dube,2023-2024,5,4,2,134,63*,67,85,157.64,0,2,0,10,7
KL Rahul,2021-2022,2,2,0,131,69,65.5,89,147.19,0,2,0,12,4
RK Singh,2023-2024,4,3,3,94,69*,-,57,164.91,0,1,0,5,6
YBK Jaiswal,2023-2024,3,2,0,72,68,36,40,180,0,1,0,5,6
HH Pandya,2021-2024,2,2,1,67,35*,67,37,181.08,0,0,0,7,4
RR Pant,2021-2024,3,3,2,67,27*,67,40,167.5,0,0,0,8,3
SA Yadav,2021-2024,3,2,0,59,53,29.5,30,196.66,0,1,0,5,4
JM Sharma,2023-2024,3,2,0,31,31,15.5,22,140.9,0,0,1,5,0
NT Tilak Varma,2023-2024,2,1,0,26,26,26,22,118.18,0,0,0,2,1
Shubman Gill,2024-2024,1,1,0,23,23,23,12,191.66,0,0,0,5,0
AR Patel,2022-2024,4,1,0,12,12,12,6,200,0,0,0,2,0
RA Jadeja,2021-2024,2,1,0,7,7,7,5,140,0,0,0,1,0
Arshdeep Singh,2022-2024,5,1,1,2,2*,-,2,100,0,0,0,0,0
