Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
RG Sharma,2018-2024,8,8,0,283,89,35.37,189,149.73,0,3,0,23,15
S Dhawan,2018-2019,6,6,0,191,55,31.83,162,117.9,0,1,0,21,5
KL Rahul,2018-2022,6,5,1,149,52,37.25,109,136.69,0,2,0,14,5
SS Iyer,2019-2019,3,3,1,108,62,54,59,183.05,0,1,0,7,8
V Kohli,2022-2024,2,2,1,101,64*,101,72,140.27,0,1,0,9,4
MK Pandey,2018-2019,4,3,2,77,28,77,59,130.5,0,0,0,9,0
RR Pant,2018-2024,5,4,0,76,36,19,67,113.43,0,0,0,8,2
SK Raina,2018-2018,3,3,0,75,47,25,60,125,0,0,1,6,3
HH Pandya,2022-2024,2,2,1,55,50*,55,33,166.66,0,1,0,4,3
NT Tilak Varma,2023-2023,1,1,1,55,55*,-,26,211.53,0,1,0,2,6
S Dube,2019-2024,5,3,1,44,34,22,36,122.22,0,0,0,0,3
RD Gaikwad,2023-2023,1,1,1,40,40*,-,26,153.84,0,0,0,4,3
KD Karthik,2018-2022,4,4,3,40,29*,40,17,235.29,0,0,0,3,3
SA Yadav,2022-2024,2,2,0,36,30,18,18,200,0,0,0,4,1
V Shankar,2018-2018,3,1,0,17,17,17,19,89.47,0,0,0,3,0
KH Pandya,2019-2019,2,1,1,15,15*,-,8,187.5,0,0,0,1,1
Washington Sundar,2018-2023,7,2,2,14,14*,-,5,280,0,0,0,0,2
R Ashwin,2022-2022,1,1,1,13,13*,-,6,216.66,0,0,0,1,1
AR Patel,2022-2024,2,2,1,10,7,10,11,90.9,0,0,0,1,0
YBK Jaiswal,2023-2023,1,1,0,0,0,0,4,0,0,0,1,0,0
