Player,Span,Mat,Inns,Not out,Runs,Highest Score,Avg,Balls Faced,Strike rate,100s,50s,0's,4's,6's
V Kohli,2017-2024,15,15,4,464,80*,42.18,349,132.95,0,4,1,34,18
RG Sharma,2018-2024,11,11,1,378,100*,37.8,271,139.48,1,2,0,42,16
SA Yadav,2021-2024,8,7,0,321,117,45.85,179,179.32,1,1,0,34,16
HH Pandya,2017-2024,15,13,3,302,63,30.2,198,152.52,0,2,0,21,18
KL Rahul,2017-2022,11,11,1,247,101*,24.7,182,135.71,1,1,2,23,10
SS Iyer,2021-2022,6,5,1,149,67,37.25,106,140.56,0,1,0,14,4
RR Pant,2017-2024,10,9,1,144,30,18,112,128.57,0,0,0,17,4
SK Raina,2017-2018,6,4,0,131,63,32.75,98,133.67,0,1,0,8,7
MS Dhoni,2017-2018,6,4,2,129,56,64.5,94,137.23,0,1,0,13,2
RA Jadeja,2022-2024,3,3,2,70,46*,70,42,166.66,0,0,0,7,1
Ishan Kishan,2021-2022,3,3,0,68,56,22.66,51,133.33,0,1,0,5,4
Yuvraj Singh,2017-2017,3,3,0,43,27,14.33,35,122.85,0,0,0,2,3
AR Patel,2021-2024,4,3,1,34,17,17,21,161.9,0,0,0,4,1
DJ Hooda,2022-2022,1,1,0,33,33,33,17,194.11,0,0,0,3,2
MK Pandey,2017-2017,2,2,0,33,30,16.5,31,106.45,0,0,0,0,1
KD Karthik,2022-2022,3,3,0,29,12,9.66,31,93.54,0,0,0,4,0
S Dhawan,2018-2021,4,4,0,23,10,5.75,31,74.19,0,0,0,3,0
HV Patel,2022-2022,3,3,0,21,13,7,18,116.66,0,0,0,2,1
SN Thakur,2021-2021,5,2,1,10,10*,10,5,200,0,0,1,2,0
Washington Sundar,2021-2021,5,2,1,7,4,7,5,140,0,0,0,1,0
Parvez Rasool,2017-2017,1,1,0,5,5,5,6,83.33,0,0,0,0,0
Arshdeep Singh,2022-2024,3,2,2,3,2*,-,2,150,0,0,0,0,0
B Kumar,2018-2022,10,3,2,3,2,3,5,60,0,0,0,0,0
Ravi Bishnoi,2022-2022,1,1,0,2,2,2,2,100,0,0,0,0,0
Avesh Khan,2022-2022,1,1,1,1,1*,-,1,100,0,0,0,0,0
R Ashwin,2022-2022,1,1,1,0,0*,-,0,-,0,0,0,0,0
JJ Bumrah,2017-2024,5,3,3,0,0*,-,0,-,0,0,0,0,0
S Dube,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
A Mishra,2017-2017,2,1,0,0,0,0,0,-,0,0,1,0,0
