Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
RG Sharma,2017-2021,14,14,1,495,80,38.07,346,143.06,0,6,0,37,26
KL Rahul,2020-2021,8,8,1,322,65,46,234,137.6,0,3,0,26,13
SA Yadav,2021-2023,8,8,2,284,111*,47.33,185,153.51,1,1,1,26,15
SS Iyer,2017-2022,13,11,2,225,58*,25,181,124.3,0,1,1,14,10
V Kohli,2017-2021,8,8,1,218,65,31.14,156,139.74,0,1,0,17,7
HH Pandya,2017-2023,12,11,3,172,30*,21.5,141,121.98,0,0,1,12,6
S Dhawan,2017-2019,6,6,0,151,80,25.16,115,131.3,0,1,0,16,5
Shubman Gill,2023-2023,3,3,1,144,126*,72,78,184.61,1,0,0,15,7
RR Pant,2019-2022,9,9,3,134,40*,22.33,116,115.51,0,0,0,10,6
MS Dhoni,2017-2019,6,6,3,117,49,39,91,128.57,0,0,0,8,5
MK Pandey,2017-2020,6,5,4,106,50*,106,69,153.62,0,1,0,6,4
Ishan Kishan,2021-2023,7,7,0,103,36,14.71,111,92.79,0,0,0,16,2
V Shankar,2019-2019,3,3,0,84,43,28,54,155.55,0,0,0,8,5
Washington Sundar,2020-2023,6,4,0,60,50,15,41,146.34,0,1,2,6,3
RA Tripathi,2023-2023,3,3,0,57,44,19,46,123.91,0,0,1,5,3
KH Pandya,2019-2019,3,2,1,46,26*,46,31,148.38,0,0,0,3,3
S Dube,2020-2020,5,5,1,41,13,10.25,35,117.14,0,0,0,4,2
KD Karthik,2019-2019,3,2,1,38,33*,38,22,172.72,0,0,0,0,4
VR Iyer,2021-2021,3,3,1,36,20,18,28,128.57,0,0,0,4,1
RA Jadeja,2020-2021,4,2,2,36,26*,-,24,150,0,0,0,2,2
DL Chahar,2021-2021,3,1,1,21,21*,-,8,262.5,0,0,0,2,1
DJ Hooda,2022-2023,5,4,2,21,10,10.5,22,95.45,0,0,1,0,1
SN Thakur,2020-2021,6,2,0,20,20,10,18,111.11,0,0,1,2,0
HV Patel,2021-2022,3,1,0,18,18,18,11,163.63,0,0,0,2,1
NA Saini,2020-2020,2,1,1,11,11*,-,9,122.22,0,0,0,2,0
SV Samson,2020-2020,2,2,0,10,8,5,10,100,0,0,0,0,1
AR Patel,2017-2021,5,3,2,8,5,8,8,100,0,0,0,1,0
B Kumar,2017-2022,11,3,2,4,2*,4,7,57.14,0,0,0,0,0
Umran Malik,2023-2023,2,1,1,4,4*,-,1,400,0,0,0,1,0
YS Chahal,2017-2023,14,2,0,2,1,1,5,40,0,0,0,0,0
Shivam Mavi,2023-2023,3,1,0,2,2,2,3,66.66,0,0,0,0,0
KK Ahmed,2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
JJ Bumrah,2017-2021,9,1,1,1,1*,-,2,50,0,0,0,0,0
Arshdeep Singh,2022-2023,5,1,1,0,0*,-,6,0,0,0,0,0,0
Kuldeep Yadav,2017-2023,5,1,0,0,0,0,1,0,0,0,1,0,0
Mohammed Shami,2020-2021,4,1,1,0,0*,-,0,-,0,0,0,0,0
