Player,Span,Mat,Inns,Not Outs,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
SA Yadav,2021-2024,8,8,1,346,112*,49.42,207,167.14,1,3,0,30,18
RG Sharma,2017-2022,10,10,0,304,118,30.4,179,169.83,1,1,1,28,17
KL Rahul,2017-2022,9,8,0,301,89,37.62,216,139.35,0,3,0,28,10
SS Iyer,2017-2022,9,8,3,296,74*,59.2,198,149.49,0,3,1,28,9
S Dhawan,2018-2021,8,7,0,268,90,38.28,203,132.01,0,2,1,25,8
MK Pandey,2017-2020,7,7,5,226,51*,113,168,134.52,0,1,0,20,5
Ishan Kishan,2021-2023,6,6,1,165,89,33,121,136.36,0,1,0,16,6
V Kohli,2017-2022,5,4,1,138,82,46,92,150,0,1,1,10,4
Shubman Gill,2023-2024,5,5,0,131,46,26.2,97,135.05,0,0,0,13,4
AR Patel,2017-2024,6,4,3,127,65,127,65,195.38,0,1,0,10,8
HH Pandya,2017-2024,10,9,1,117,29,14.62,94,124.46,0,0,0,10,4
SV Samson,2020-2024,10,9,0,102,39,11.33,86,118.6,0,0,3,7,5
RR Pant,2018-2024,6,5,2,92,49,30.66,72,127.77,0,0,0,10,2
MS Dhoni,2017-2017,4,4,3,84,39*,84,54,155.55,0,0,0,8,3
YBK Jaiswal,2024-2024,3,3,0,80,40,26.66,45,177.77,0,0,0,10,4
DJ Hooda,2022-2023,7,5,1,78,41*,19.5,57,136.84,0,0,0,3,5
KD Karthik,2017-2018,5,4,4,75,39*,-,45,166.66,0,0,0,8,1
RA Jadeja,2022-2022,3,3,3,70,45*,-,37,189.18,0,0,0,10,1
RA Tripathi,2023-2023,2,2,0,40,35,20,21,190.47,0,0,0,6,2
D Padikkal,2021-2021,2,2,0,38,29,19,38,100,0,0,0,2,1
RD Gaikwad,2021-2021,2,2,0,35,21,17.5,28,125,0,0,0,3,0
R Parag,2024-2024,3,2,0,33,26,16.5,24,137.5,0,0,0,2,2
B Kumar,2017-2022,7,3,1,29,16,14.5,45,64.44,0,0,1,0,0
SK Raina,2018-2018,2,2,0,28,27,14,18,155.55,0,0,0,2,2
Shivam Mavi,2023-2023,3,1,0,26,26,26,15,173.33,0,0,0,2,2
Washington Sundar,2017-2024,7,2,0,25,25,12.5,19,131.57,0,0,1,2,1
Kuldeep Yadav,2017-2022,9,1,1,23,23*,-,28,82.14,0,0,0,0,0
SN Thakur,2018-2020,5,1,1,22,22*,-,8,275,0,0,0,1,2
R Ashwin,2022-2022,1,1,1,15,15*,-,7,214.28,0,0,0,0,1
N Rana,2021-2021,2,2,0,15,9,7.5,27,55.55,0,0,0,0,0
S Dube,2020-2024,3,1,0,13,13,13,14,92.85,0,0,0,0,0
Ravi Bishnoi,2022-2024,4,1,1,8,8*,-,8,100,0,0,0,1,0
RD Chahar,2021-2021,2,1,0,5,5,5,5,100,0,0,0,1,0
VR Iyer,2022-2022,3,1,0,5,5,5,4,125,0,0,0,1,0
C Sakariya,2021-2021,2,1,1,5,5*,-,9,55.55,0,0,0,0,0
KH Pandya,2021-2021,1,1,1,3,3*,-,3,100,0,0,0,0,0
Arshdeep Singh,2022-2024,5,2,2,2,1*,-,2,100,0,0,0,0,0
RK Singh,2024-2024,3,2,0,2,1,1,4,50,0,0,0,0,0
NA Saini,2020-2021,4,1,1,1,1*,-,1,100,0,0,0,0,0
Umran Malik,2023-2023,3,1,1,1,1*,-,1,100,0,0,0,0,0
Mohammed Siraj,2017-2024,5,1,0,0,0,0,1,0,0,0,1,0,0
PP Shaw,2021-2021,1,1,0,0,0,0,1,0,0,0,1,0,0
CV Varun,2021-2021,3,1,0,0,0,0,2,0,0,0,1,0,0
KK Ahmed,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Avesh Khan,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
JJ Bumrah,2017-2022,8,-,-,-,-,-,-,-,-,-,-,-,-
YS Chahal,2017-2023,13,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
KM Jadhav,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
HV Patel,2022-2023,4,-,-,-,-,-,-,-,-,-,-,-,-
