Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
RG Sharma,2018-2022,15,15,2,480,111*,36.92,329,145.89,1,3,1,43,27
SA Yadav,2022-2023,12,11,1,408,83,40.8,248,164.51,0,4,0,35,24
V Kohli,2017-2022,9,9,2,397,94*,56.71,269,147.58,0,4,0,35,16
RR Pant,2017-2022,16,16,4,397,65*,33.08,281,141.28,0,3,2,34,15
KL Rahul,2018-2019,7,7,1,243,91,40.5,171,142.1,0,2,0,25,10
S Dhawan,2017-2019,7,7,0,188,92,26.85,151,124.5,0,1,0,21,2
NT Tilak Varma,2023-2023,5,5,2,173,51,57.66,123,140.65,0,1,0,15,7
KD Karthik,2017-2022,9,7,3,145,48,36.25,113,128.31,0,0,0,14,6
HH Pandya,2022-2023,9,8,1,141,31,20.14,126,111.9,0,0,0,7,8
SS Iyer,2019-2022,8,8,1,137,64,19.57,115,119.13,0,1,1,15,3
Ishan Kishan,2022-2023,6,6,0,115,35,19.16,128,89.84,0,0,0,13,2
Shubman Gill,2023-2023,5,5,0,102,77,20.4,85,120,0,1,0,5,6
VR Iyer,2022-2022,3,3,2,92,35*,92,50,184,0,0,0,10,4
YBK Jaiswal,2023-2023,3,3,1,90,84*,45,57,157.89,0,1,0,12,3
RA Jadeja,2017-2022,7,6,3,84,27,28,75,112,0,0,0,2,3
SV Samson,2022-2023,7,5,1,77,30*,19.25,62,124.19,0,0,0,7,2
DJ Hooda,2022-2022,3,3,1,69,38,34.5,51,135.29,0,0,0,6,2
AR Patel,2022-2023,7,5,1,69,20*,17.25,48,143.75,0,0,0,2,5
S Dube,2019-2019,3,2,1,54,54,54,30,180,0,1,0,3,4
KH Pandya,2018-2019,6,3,2,53,21*,53,36,147.22,0,0,0,4,2
MK Pandey,2018-2019,6,5,2,50,19,16.66,57,87.71,0,0,0,4,0
R Ashwin,2017-2022,4,3,2,34,13*,34,23,147.82,0,0,0,3,1
Arshdeep Singh,2022-2023,10,4,2,27,12,13.5,15,180,0,0,0,3,1
Avesh Khan,2022-2022,5,2,1,9,8,9,6,150,0,0,0,0,1
Ravi Bishnoi,2022-2023,7,1,1,8,8*,-,4,200,0,0,0,0,1
Washington Sundar,2018-2019,7,2,1,8,8*,8,6,133.33,0,0,1,0,1
Mukesh Kumar,2023-2023,5,2,2,5,4*,-,2,250,0,0,0,1,0
RD Gaikwad,2022-2022,1,1,0,4,4,4,8,50,0,0,0,1,0
KM Jadhav,2017-2017,1,1,0,4,4,4,4,100,0,0,0,0,0
Kuldeep Yadav,2017-2023,9,3,1,3,3,1.5,10,30,0,0,1,0,0
MS Dhoni,2017-2017,1,1,0,2,2,2,3,66.66,0,0,0,0,0
YS Chahal,2018-2023,10,2,2,1,1*,-,2,50,0,0,0,0,0
DL Chahar,2019-2022,7,1,1,1,1*,-,1,100,0,0,0,0,0
B Kumar,2017-2022,15,1,0,1,1,1,3,33.33,0,0,0,0,0
HV Patel,2022-2022,3,1,1,1,1*,-,1,100,0,0,0,0,0
